מצי
הפעיל	עתיד	שלישי	זכר 	רבים	י_מ_צו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_מ_צינה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_מ_צה
הפעיל	ציווי	שני 	נקבה	יחיד	ה_מ_צי
הפעיל	ציווי	שני 	זכר 	רבים	ה_מ_צו
הפעיל	ציווי	שני 	נקבה	רבים	ה_מ_צינה
הופעל 	עבר 	ראשון	זכר 	יחיד	ה_מ_ציתי
הופעל 	עבר 	ראשון	נקבה	יחיד	ה_מ_ציתי
הופעל 	עבר 	שני 	זכר 	יחיד	ה_מ_צית
הופעל 	עבר 	שני 	נקבה	יחיד	ה_מ_צית
הופעל 	עבר 	שלישי	זכר 	יחיד	ה_מ_צה
הופעל 	עבר 	שלישי	נקבה	יחיד	ה_מ_צתה
הופעל 	עבר 	ראשון	זכר 	רבים	ה_מ_צינו
הופעל 	עבר 	ראשון	נקבה	רבים	ה_מ_צינו
הופעל 	עבר 	שני 	זכר 	רבים	ה_מ_ציתם
הופעל 	עבר 	שני 	נקבה	רבים	ה_מ_ציתן
הופעל 	עבר 	שלישי	זכר 	רבים	ה_מ_צו
הופעל 	עבר 	שלישי	נקבה	רבים	ה_מ_צו
הופעל 	הווה	ראשון	זכר 	יחיד	מ_מ_צה
הופעל 	הווה	ראשון	נקבה	יחיד	מ_מ_צה
הופעל 	הווה	שני 	זכר 	יחיד	מ_מ_צה
הופעל 	הווה	שני 	נקבה	יחיד	מ_מ_צה
הופעל 	הווה	שלישי	זכר 	יחיד	מ_מ_צה
הופעל 	הווה	שלישי	נקבה	יחיד	מ_מ_צה
הופעל 	הווה	ראשון	זכר 	רבים	מ_מ_צים
הופעל 	הווה	ראשון	נקבה	רבים	מ_מ_צות
הופעל 	הווה	שני 	זכר 	רבים	מ_מ_צים
הופעל 	הווה	שני 	נקבה	רבים	מ_מ_צות
הופעל 	הווה	שלישי	זכר 	רבים	מ_מ_צים
הופעל 	הווה	שלישי	נקבה	רבים	מ_מ_צות
הופעל 	עתיד	ראשון	זכר 	יחיד	א_מ_צה
הופעל 	עתיד	ראשון	נקבה	יחיד	א_מ_צה
הופעל 	עתיד	שני 	זכר 	יחיד	ת_מ_צה
הופעל 	עתיד	שני 	נקבה	יחיד	ת_מ_צי
הופעל 	עתיד	שלישי	זכר 	יחיד	י_מ_צה
הופעל 	עתיד	שלישי	נקבה	יחיד	ת_מ_צה
הופעל 	עתיד	ראשון	זכר 	רבים	נ_מ_צה
הופעל 	עתיד	ראשון	נקבה	רבים	נ_מ_צה
הופעל 	עתיד	שני 	זכר 	רבים	ת_מ_צו
הופעל 	עתיד	שני 	נקבה	רבים	ת_מ_צינה
הופעל 	עתיד	שלישי	זכר 	רבים	י_מ_צו
הופעל 	עתיד	שלישי	נקבה	רבים	ת_מ_צינה
התפעל 	עבר 	ראשון	זכר 	יחיד	הת_מ_ציתי
התפעל 	עבר 	ראשון	נקבה	יחיד	הת_מ_ציתי
התפעל 	עבר 	שני 	זכר 	יחיד	הת_מ_צית
התפעל 	עבר 	שני 	נקבה	יחיד	הת_מ_צית
התפעל 	עבר 	שלישי	זכר 	יחיד	הת_מ_צה
התפעל 	עבר 	שלישי	נקבה	יחיד	הת_מ_צתה
התפעל 	עבר 	ראשון	זכר 	רבים	הת_מ_צינו
התפעל 	עבר 	ראשון	נקבה	רבים	הת_מ_צינו
התפעל 	עבר 	שני 	זכר 	רבים	הת_מ_ציתם
התפעל 	עבר 	שני 	נקבה	רבים	הת_מ_ציתן
התפעל 	עבר 	שלישי	זכר 	רבים	הת_מ_צו
התפעל 	עבר 	שלישי	נקבה	רבים	הת_מ_צו
התפעל 	הווה	ראשון	זכר 	יחיד	מת_מ_צה
התפעל 	הווה	ראשון	נקבה	יחיד	מת_מ_צה
התפעל 	הווה	שני 	זכר 	יחיד	מת_מ_צה
התפעל 	הווה	שני 	נקבה	יחיד	מת_מ_צה
התפעל 	הווה	שלישי	זכר 	יחיד	מת_מ_צה
התפעל 	הווה	שלישי	נקבה	יחיד	מת_מ_צה
התפעל 	הווה	ראשון	זכר 	רבים	מת_מ_צים
התפעל 	הווה	ראשון	נקבה	רבים	מת_מ_צות
התפעל 	הווה	שני 	זכר 	רבים	מת_מ_צים
התפעל 	הווה	שני 	נקבה	רבים	מת_מ_צות
התפעל 	הווה	שלישי	זכר 	רבים	מת_מ_צים
התפעל 	הווה	שלישי	נקבה	רבים	מת_מ_צות
התפעל 	עתיד	ראשון	זכר 	יחיד	את_מ_צה
התפעל 	עתיד	ראשון	נקבה	יחיד	את_מ_צה
התפעל 	עתיד	שני 	זכר 	יחיד	תת_מ_צה
התפעל 	עתיד	שני 	נקבה	יחיד	תת_מ_צי
התפעל 	עתיד	שלישי	זכר 	יחיד	ית_מ_צה
התפעל 	עתיד	שלישי	נקבה	יחיד	תת_מ_צה
התפעל 	עתיד	ראשון	זכר 	רבים	נת_מ_צה
התפעל 	עתיד	ראשון	נקבה	רבים	נת_מ_צה
התפעל 	עתיד	שני 	זכר 	רבים	תת_מ_צו
התפעל 	עתיד	שני 	נקבה	רבים	תת_מ_צינה
התפעל 	עתיד	שלישי	זכר 	רבים	ית_מ_צו
התפעל 	עתיד	שלישי	נקבה	רבים	תת_מ_צינה
התפעל 	ציווי	שני 	זכר 	יחיד	הת_מ_צה
התפעל 	ציווי	שני 	נקבה	יחיד	הת_מ_צי
התפעל 	ציווי	שני 	זכר 	רבים	הת_מ_צו
התפעל 	ציווי	שני 	נקבה	רבים	הת_מ_צינה
