התפעל	עבר 	ראשון	זכר 	רבים	הת_ק_ר_ז_לנו_
התפעל	עבר 	ראשון	נקבה	רבים	הת_ק_ר_ז_לנו_
התפעל	עבר 	שני 	זכר 	רבים	הת_ק_ר_ז_לתם_
התפעל	עבר 	שני 	נקבה	רבים	הת_ק_ר_ז_לתן_
התפעל	עבר 	שלישי	זכר 	רבים	הת_ק_ר_ז_לו_
התפעל	עבר 	שלישי	נקבה	רבים	הת_ק_ר_ז_לו_
התפעל	הווה	ראשון	זכר 	יחיד	מת_ק_ר_ז_ל_
התפעל	הווה	ראשון	נקבה	יחיד	מת_ק_ר_ז_לת_
התפעל	הווה	שני 	זכר 	יחיד	מת_ק_ר_ז_ל_
התפעל	הווה	שני 	נקבה	יחיד	מת_ק_ר_ז_לת_
התפעל	הווה	שלישי	זכר 	יחיד	מת_ק_ר_ז_ל_
התפעל	הווה	שלישי	נקבה	יחיד	מת_ק_ר_ז_לת_
התפעל	הווה	ראשון	זכר 	רבים	מת_ק_ר_ז_לים_
התפעל	הווה	ראשון	נקבה	רבים	מת_ק_ר_ז_לות_
התפעל	הווה	שני 	זכר 	רבים	מת_ק_ר_ז_לים_
התפעל	הווה	שני 	נקבה	רבים	מת_ק_ר_ז_לות_
התפעל	הווה	שלישי	זכר 	רבים	מת_ק_ר_ז_לים_
התפעל	הווה	שלישי	נקבה	רבים	מת_ק_ר_ז_לות_
התפעל	עתיד	ראשון	זכר 	יחיד	את_ק_ר_ז_ל_
התפעל	עתיד	ראשון	נקבה	יחיד	את_ק_ר_ז_ל_
התפעל	עתיד	שני 	זכר 	יחיד	תת_ק_ר_ז_ל_
התפעל	עתיד	שני 	נקבה	יחיד	תת_ק_ר_ז_לי_
התפעל	עתיד	שלישי	זכר 	יחיד	ית_ק_ר_ז_ל_
התפעל	עתיד	שלישי	נקבה	יחיד	תת_ק_ר_ז_ל_
התפעל	עתיד	ראשון	זכר 	רבים	נת_ק_ר_ז_ל_
התפעל	עתיד	ראשון	נקבה	רבים	נת_ק_ר_ז_ל_
התפעל	עתיד	שני 	זכר 	רבים	תת_ק_ר_ז_לו_
התפעל	עתיד	שני 	נקבה	רבים	תת_ק_ר_ז_לנה_
התפעל	עתיד	שלישי	זכר 	רבים	ית_ק_ר_ז_לו_
התפעל	עתיד	שלישי	נקבה	רבים	תת_ק_ר_ז_לנה_
התפעל	ציווי	שני 	זכר 	יחיד	הת_ק_ר_ז_ל_
התפעל	ציווי	שני 	נקבה	יחיד	הת_ק_ר_ז_לי_
התפעל	ציווי	שני 	זכר 	רבים	הת_ק_ר_ז_לו_
התפעל	ציווי	שני 	נקבה	רבים	הת_ק_ר_ז_לנה
