שחזר
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ש_ח_ז_רת
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ש_ח_ז_רת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_ש_ח_זי_ר
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_ש_ח_זי_ר
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ש_ח_ז_רנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ש_ח_ז_רנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ש_ח_ז_רתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_ש_ח_ז_רתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_ש_ח_זי_רו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_ש_ח_זי_רו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_ש_ח_זי_ר
הפעיל	הווה	ראשון	נקבה	יחיד	מ_ש_ח_זי_רה
הפעיל	הווה	שני 	זכר 	יחיד	מ_ש_ח_זי_ר
הפעיל	הווה	שני 	נקבה	יחיד	מ_ש_ח_זי_רה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_ש_ח_זי_ר
הפעיל	הווה	שלישי	נקבה	יחיד	מ_ש_ח_זי_רה
הפעיל	הווה	ראשון	זכר 	רבים	מ_ש_ח_זי_רימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_ש_ח_זי_רות
הפעיל	הווה	שני 	זכר 	רבים	מ_ש_ח_זי_רימ
הפעיל	הווה	שני 	נקבה	רבים	מ_ש_ח_זי_רות
הפעיל	הווה	שלישי	זכר 	רבים	מ_ש_ח_זי_רימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_ש_ח_זי_רות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_ש_ח_זי_ר
הפעיל	עתיד	ראשון	נקבה	יחיד	א_ש_ח_זי_ר
הפעיל	עתיד	שני 	זכר 	יחיד	ת_ש_ח_זי_ר
הפעיל	עתיד	שני 	נקבה	יחיד	ת_ש_ח_זי_רי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_ש_ח_זי_ר
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_ש_ח_זי_ר
הפעיל	עתיד	ראשון	זכר 	רבים	נ_ש_ח_זי_ר
הפעיל	עתיד	ראשון	נקבה	רבים	נ_ש_ח_זי_ר
הפעיל	עתיד	שני 	זכר 	רבים	ת_ש_ח_זי_רו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ש_ח_ז_רנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ש_ח_זי_רו
