הפעיל	עבר 	שני 	נקבה	יחיד	ה_ק_ט_לת_
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_ק_טי_ל_
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_ק_טי_ל_
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ק_ט_לנו_
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ק_ט_לנו_
הפעיל	עבר 	שני 	זכר 	רבים	ה_ק_ט_לתם_
הפעיל	עבר 	שני 	נקבה	רבים	ה_ק_ט_לתן_
הפעיל	עבר 	שלישי	זכר 	רבים	ה_ק_טי_לו_
הפעיל	עבר 	שלישי	נקבה	רבים	ה_ק_טי_לו_
הפעיל	הווה	ראשון	זכר 	יחיד	מ_ק_טי_ל_
הפעיל	הווה	ראשון	נקבה	יחיד	מ_ק_טי_לה_
הפעיל	הווה	שני 	זכר 	יחיד	מ_ק_טי_ל_
הפעיל	הווה	שני 	נקבה	יחיד	מ_ק_טי_לה_
הפעיל	הווה	שלישי	זכר 	יחיד	מ_ק_טי_ל_
הפעיל	הווה	שלישי	נקבה	יחיד	מ_ק_טי_לה_
הפעיל	הווה	ראשון	זכר 	רבים	מ_ק_טי_לים_
הפעיל	הווה	ראשון	נקבה	רבים	מ_ק_טי_לות_
הפעיל	הווה	שני 	זכר 	רבים	מ_ק_טי_לים_
הפעיל	הווה	שני 	נקבה	רבים	מ_ק_טי_לות_
הפעיל	הווה	שלישי	זכר 	רבים	מ_ק_טי_לים_
הפעיל	הווה	שלישי	נקבה	רבים	מ_ק_טי_לות_
הפעיל	עתיד	ראשון	זכר 	יחיד	א_ק_טי_ל_
הפעיל	עתיד	ראשון	נקבה	יחיד	א_ק_טי_ל_
הפעיל	עתיד	שני 	זכר 	יחיד	ת_ק_טי_ל_
הפעיל	עתיד	שני 	נקבה	יחיד	ת_ק_טי_לי_
הפעיל	עתיד	שלישי	זכר 	יחיד	י_ק_טי_ל_
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_ק_טי_ל_
הפעיל	עתיד	ראשון	זכר 	רבים	נ_ק_טי_ל_
הפעיל	עתיד	ראשון	נקבה	רבים	נ_ק_טי_ל_
הפעיל	עתיד	שני 	זכר 	רבים	ת_ק_טי_לו_
הפעיל	עתיד	שני 	נקבה	רבים	ת_ק_ט_לנה_
הפעיל	עתיד	שלישי	זכר 	רבים	י_ק_טי_לו_
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ק_ט_לנה_
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ק_ט_ל_
הפעיל	ציווי	שני 	נקבה	יחיד	ה_ק_טי_לי_
הפעיל	ציווי	שני 	זכר 	רבים	ה_ק_טי_לו_
הפעיל	ציווי	שני 	נקבה	רבים	ה_ק_ט_לנה_
הופעל	עבר 	ראשון	זכר 	יחיד	הו_ק_ט_לתי_
הופעל	עבר 	ראשון	נקבה	יחיד	הו_ק_ט_לתי_
הופעל	עבר 	שני 	זכר 	יחיד	הו_ק_ט_לת_
הופעל	עבר 	שני 	נקבה	יחיד	הו_ק_ט_לת_
הופעל	עבר 	שלישי	זכר 	יחיד	הו_ק_ט_ל_
הופעל	עבר 	שלישי	נקבה	יחיד	הו_ק_ט_לה_
הופעל	עבר 	ראשון	זכר 	רבים	הו_ק_ט_לנו_
הופעל	עבר 	ראשון	נקבה	רבים	הו_ק_ט_לנו_
הופעל	עבר 	שני 	זכר 	רבים	הו_ק_ט_לתם_
הופעל	עבר 	שני 	נקבה	רבים	הו_ק_ט_לתן_
הופעל	עבר 	שלישי	זכר 	רבים	הו_ק_ט_לו_
הופעל	עבר 	שלישי	נקבה	רבים	הו_ק_ט_לו_
הופעל	הווה	ראשון	זכר 	יחיד	מו_ק_ט_ל_
