פיעל	עבר 	שלישי	זכר 	רבים	_צי_ל_מו
פיעל	עבר 	שלישי	נקבה	רבים	_צי_ל_מו
פיעל	הווה	ראשון	זכר 	יחיד	מ_צ_ל_מ
פיעל	הווה	ראשון	נקבה	יחיד	מ_צ_ל_מת
פיעל	הווה	שני 	זכר 	יחיד	מ_צ_ל_מ
פיעל	הווה	שני 	נקבה	יחיד	מ_צ_ל_מת
פיעל	הווה	שלישי	זכר 	יחיד	מ_צ_ל_מ
פיעל	הווה	שלישי	נקבה	יחיד	מ_צ_ל_מת
פיעל	הווה	ראשון	זכר 	רבים	מ_צ_ל_מים
פיעל	הווה	ראשון	נקבה	רבים	מ_צ_ל_מות
פיעל	הווה	שני 	זכר 	רבים	מ_צ_ל_מים
פיעל	הווה	שני 	נקבה	רבים	מ_צ_ל_מות
פיעל	הווה	שלישי	זכר 	רבים	מ_צ_ל_מים
פיעל	הווה	שלישי	נקבה	רבים	מ_צ_ל_מות
פיעל	עתיד	ראשון	זכר 	יחיד	א_צ_ל_מ
פיעל	עתיד	ראשון	נקבה	יחיד	א_צ_ל_מ
פיעל	עתיד	שני 	זכר 	יחיד	ת_צ_ל_מ
פיעל	עתיד	שני 	נקבה	יחיד	ת_צ_ל_מי
פיעל	עתיד	שלישי	זכר 	יחיד	י_צ_ל_מ
פיעל	עתיד	שלישי	נקבה	יחיד	ת_צ_ל_מ
פיעל	עתיד	ראשון	זכר 	רבים	נ_צ_ל_מ
פיעל	עתיד	ראשון	נקבה	רבים	נ_צ_ל_מ
פיעל	עתיד	שני 	זכר 	רבים	ת_צ_ל_מו
פיעל	עתיד	שני 	נקבה	רבים	ת_צ_ל_מנה
פיעל	עתיד	שלישי	זכר 	רבים	י_צ_ל_מו
פיעל	עתיד	שלישי	נקבה	רבים	ת_צ_ל_מנה
פיעל	ציווי	שני 	זכר 	יחיד	_צ_ל_מ
פיעל	ציווי	שני 	נקבה	יחיד	_צ_ל_מי
פיעל	ציווי	שני 	זכר 	רבים	_צ_ל_מו
פיעל	ציווי	שני 	נקבה	רבים	_צ_ל_מנה
