פיעל	עבר 	שני 	זכר 	רבים	_צי_ל_מתם_
פיעל	עבר 	שני 	נקבה	רבים	_צי_ל_מתן_
פיעל	עבר 	שלישי	זכר 	רבים	_צי_ל_מו_
פיעל	עבר 	שלישי	נקבה	רבים	_צי_ל_מו_
פיעל	הווה	ראשון	זכר 	יחיד	מ_צ_ל_מ_
פיעל	הווה	ראשון	נקבה	יחיד	מ_צ_ל_מת_
פיעל	הווה	שני 	זכר 	יחיד	מ_צ_ל_מ_
פיעל	הווה	שני 	נקבה	יחיד	מ_צ_ל_מת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_צ_ל_מ_
פיעל	הווה	שלישי	נקבה	יחיד	מ_צ_ל_מת_
פיעל	הווה	ראשון	זכר 	רבים	מ_צ_ל_מים_
פיעל	הווה	ראשון	נקבה	רבים	מ_צ_ל_מות_
פיעל	הווה	שני 	זכר 	רבים	מ_צ_ל_מים_
פיעל	הווה	שני 	נקבה	רבים	מ_צ_ל_מות_
פיעל	הווה	שלישי	זכר 	רבים	מ_צ_ל_מים_
פיעל	הווה	שלישי	נקבה	רבים	מ_צ_ל_מות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_צ_ל_מ_
פיעל	עתיד	ראשון	נקבה	יחיד	א_צ_ל_מ_
פיעל	עתיד	שני 	זכר 	יחיד	ת_צ_ל_מ_
פיעל	עתיד	שני 	נקבה	יחיד	ת_צ_ל_מי_
פיעל	עתיד	שלישי	זכר 	יחיד	י_צ_ל_מ_
פיעל	עתיד	שלישי	נקבה	יחיד	ת_צ_ל_מ_
פיעל	עתיד	ראשון	זכר 	רבים	נ_צ_ל_מ_
פיעל	עתיד	ראשון	נקבה	רבים	נ_צ_ל_מ_
פיעל	עתיד	שני 	זכר 	רבים	ת_צ_ל_מו_
פיעל	עתיד	שני 	נקבה	רבים	ת_צ_ל_מנה_
פיעל	עתיד	שלישי	זכר 	רבים	י_צ_ל_מו_
פיעל	עתיד	שלישי	נקבה	רבים	ת_צ_ל_מנה_
פיעל	ציווי	שני 	זכר 	יחיד	_צ_ל_מ_
פיעל	ציווי	שני 	נקבה	יחיד	_צ_ל_מי_
פיעל	ציווי	שני 	זכר 	רבים	_צ_ל_מו_
פיעל	ציווי	שני 	נקבה	רבים	_צ_ל_מנה_
פועל	עבר 	ראשון	זכר 	יחיד	_צו_ל_מתי_
פועל	עבר 	ראשון	נקבה	יחיד	_צו_ל_מתי_
פועל	עבר 	שני 	זכר 	יחיד	_צו_ל_מת_
פועל	עבר 	שני 	נקבה	יחיד	_צו_ל_מת_
פועל	עבר 	שלישי	זכר 	יחיד	_צו_ל_מ_
פועל	עבר 	שלישי	נקבה	יחיד	_צו_ל_מה_
פועל	עבר 	ראשון	זכר 	רבים	_צו_ל_מנו_
פועל	עבר 	ראשון	נקבה	רבים	_צו_ל_מנו_
פועל	עבר 	שני 	זכר 	רבים	_צו_ל_מתם_
פועל	עבר 	שני 	נקבה	רבים	_צו_ל_מתן_
פועל	עבר 	שלישי	זכר 	רבים	_צו_ל_מו_
פועל	עבר 	שלישי	נקבה	רבים	_צו_ל_מו_
פועל	הווה	ראשון	זכר 	יחיד	מ_צו_ל_מ_
פועל	הווה	ראשון	נקבה	יחיד	מ_צו_ל_מת_
פועל	הווה	שני 	זכר 	יחיד	מ_צו_ל_מ_
פועל	הווה	שני 	נקבה	יחיד	מ_צו_ל_מת_
פועל	הווה	שלישי	זכר 	יחיד	מ_צו_ל_מ_
פועל	הווה	שלישי	נקבה	יחיד	מ_צו_ל_מת_
פועל	הווה	ראשון	זכר 	רבים	מ_צו_ל_מים_
פועל	הווה	ראשון	נקבה	רבים	מ_צו_ל_מות_
פועל	הווה	שני 	זכר 	רבים	מ_צו_ל_מים_
פועל	הווה	שני 	נקבה	רבים	מ_צו_ל_מות_
פועל	הווה	שלישי	זכר 	רבים	מ_צו_ל_מים_
פועל	הווה	שלישי	נקבה	רבים	מ_צו_ל_מות_
פועל	עתיד	ראשון	זכר 	יחיד	א_צו_ל_מ_
פועל	עתיד	ראשון	נקבה	יחיד	א_צו_ל_מ_
פועל	עתיד	שני 	זכר 	יחיד	ת_צו_ל_מ_
פועל	עתיד	שני 	נקבה	יחיד	ת_צו_ל_מי_
פועל	עתיד	שלישי	זכר 	יחיד	י_צו_ל_מ_
פועל	עתיד	שלישי	נקבה	יחיד	ת_צו_ל_מ_
פועל	עתיד	ראשון	זכר 	רבים	נ_צו_ל_מ_
פועל	עתיד	ראשון	נקבה	רבים	נ_צו_ל_מ_
פועל	עתיד	שני 	זכר 	רבים	ת_צו_ל_מו_
פועל	עתיד	שני 	נקבה	רבים	ת_צו_ל_מנה_
פועל	עתיד	שלישי	זכר 	רבים	י_צו_ל_מו_
פועל	עתיד	שלישי	נקבה	רבים	ת_צו_ל_מנה_
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_צ_ל_מתי_
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_צ_ל_מתי_
הפעיל	עבר 	שני 	זכר 	יחיד	ה_צ_ל_מת_
הפעיל	עבר 	שני 	נקבה	יחיד	ה_צ_ל_מת_
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_צ_לי_מ_
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_צ_לי_מ_
הפעיל	עבר 	ראשון	זכר 	רבים	ה_צ_ל_מנו_
הפעיל	עבר 	ראשון	נקבה	רבים	ה_צ_ל_מנו_
הפעיל	עבר 	שני 	זכר 	רבים	ה_צ_ל_מתם_
הפעיל	עבר 	שני 	נקבה	רבים	ה_צ_ל_מתן_
הפעיל	עבר 	שלישי	זכר 	רבים	ה_צ_לי_מו_
הפעיל	עבר 	שלישי	נקבה	רבים	ה_צ_לי_מו_
הפעיל	הווה	ראשון	זכר 	יחיד	מ_צ_לי_מ_
הפעיל	הווה	ראשון	נקבה	יחיד	מ_צ_לי_מה_
הפעיל	הווה	שני 	זכר 	יחיד	מ_צ_לי_מ_
הפעיל	הווה	שני 	נקבה	יחיד	מ_צ_לי_מה_
הפעיל	הווה	שלישי	זכר 	יחיד	מ_צ_לי_מ_
הפעיל	הווה	שלישי	נקבה	יחיד	מ_צ_לי_מה_
הפעיל	הווה	ראשון	זכר 	רבים	מ_צ_לי_מים_
הפעיל	הווה	ראשון	נקבה	רבים	מ_צ_לי_מות_
הפעיל	הווה	שני 	זכר 	רבים	מ_צ_לי_מים_
הפעיל	הווה	שני 	נקבה	רבים	מ_צ_לי_מות_
הפעיל	הווה	שלישי	זכר 	רבים	מ_צ_לי_מים_
הפעיל	הווה	שלישי	נקבה	רבים	מ_צ_לי_מות_
הפעיל	עתיד	ראשון	זכר 	יחיד	א_צ_לי_מ_
הפעיל	עתיד	ראשון	נקבה	יחיד	א_צ_לי_מ_
הפעיל	עתיד	שני 	זכר 	יחיד	ת_צ_לי_מ_
הפעיל	עתיד	שני 	נקבה	יחיד	ת_צ_לי_מי_
הפעיל	עתיד	שלישי	זכר 	יחיד	י_צ_לי_מ_
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_צ_לי_מ_
הפעיל	עתיד	ראשון	זכר 	רבים	נ_צ_לי_מ_
הפעיל	עתיד	ראשון	נקבה	רבים	נ_צ_לי_מ_
הפעיל	עתיד	שני 	זכר 	רבים	ת_צ_לי_מו_
הפעיל	עתיד	שני 	נקבה	רבים	ת_צ_ל_מנה_
הפעיל	עתיד	שלישי	זכר 	רבים	י_צ_לי_מו_
הפעיל	עתיד	שלישי	נקבה	רבים	ת_צ_ל_מנה_
הפעיל	ציווי	שני 	זכר 	יחיד	ה_צ_ל_מ_
הפעיל	ציווי	שני 	נקבה	יחיד	ה_צ_לי_מי_
הפעיל	ציווי	שני 	זכר 	רבים	ה_צ_לי_מו_
הפעיל	ציווי	שני 	נקבה	רבים	ה_צ_ל_מנה_
הופעל	עבר 	ראשון	זכר 	יחיד	הו_צ_ל_מתי_
הופעל	עבר 	ראשון	נקבה	יחיד	הו_צ_ל_מתי_
הופעל	עבר 	שני 	זכר 	יחיד	הו_צ_ל_מת_
