פיעל	הווה	שני 	זכר 	יחיד	מ_ביי_ס_
פיעל	הווה	שני 	נקבה	יחיד	מ_ביי_סת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_ביי_ס_
פיעל	הווה	שלישי	נקבה	יחיד	מ_ביי_סת_
פיעל	הווה	ראשון	זכר 	רבים	מ_ביי_סים_
פיעל	הווה	ראשון	נקבה	רבים	מ_ביי_סות_
פיעל	הווה	שני 	זכר 	רבים	מ_ביי_סים_
פיעל	הווה	שני 	נקבה	רבים	מ_ביי_סות_
פיעל	הווה	שלישי	זכר 	רבים	מ_ביי_סים_
פיעל	הווה	שלישי	נקבה	רבים	מ_ביי_סות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_ביי_ס_
פיעל	עתיד	ראשון	נקבה	יחיד	א_ביי_ס_
פיעל	עתיד	שני 	זכר 	יחיד	ת_ביי_ס_
פיעל	עתיד	שני 	נקבה	יחיד	ת_ביי_סי_
פיעל	עתיד	שלישי	זכר 	יחיד	י_ביי_ס_
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ביי_ס_
פיעל	עתיד	ראשון	זכר 	רבים	נ_ביי_ס_
פיעל	עתיד	ראשון	נקבה	רבים	נ_ביי_ס_
פיעל	עתיד	שני 	זכר 	רבים	ת_ביי_סו_
פיעל	עתיד	שני 	נקבה	רבים	ת_ביי_סנה_
פיעל	עתיד	שלישי	זכר 	רבים	י_ביי_סו_
פיעל	עתיד	שלישי	נקבה	רבים	ת_ביי_סנה_
פיעל	ציווי	שני 	זכר 	יחיד	_ביי_ס_
פיעל	ציווי	שני 	נקבה	יחיד	_ביי_סי_
פיעל	ציווי	שני 	זכר 	רבים	_ביי_סו_
פיעל	ציווי	שני 	נקבה	רבים	_ביי_סנה_
פועל	עבר 	ראשון	זכר 	יחיד	_בוי_סתי_
פועל	עבר 	ראשון	נקבה	יחיד	_בוי_סתי_
פועל	עבר 	שני 	זכר 	יחיד	_בוי_סת_
פועל	עבר 	שני 	נקבה	יחיד	_בוי_סת_
פועל	עבר 	שלישי	זכר 	יחיד	_בוי_ס_
פועל	עבר 	שלישי	נקבה	יחיד	_בוי_סה_
פועל	עבר 	ראשון	זכר 	רבים	_בוי_סנו_
פועל	עבר 	ראשון	נקבה	רבים	_בו_סינו_
פועל	עבר 	שני 	זכר 	רבים	_בוי_סתם_
פועל	עבר 	שני 	נקבה	רבים	_בוי_סתן_
פועל	עבר 	שלישי	זכר 	רבים	_בוי_סו_
פועל	עבר 	שלישי	נקבה	רבים	_בוי_סו_
פועל	הווה	ראשון	זכר 	יחיד	מ_בוי_ס_
פועל	הווה	ראשון	נקבה	יחיד	מ_בוי_סת_
פועל	הווה	שני 	זכר 	יחיד	מ_בוי_ס_
פועל	הווה	שני 	נקבה	יחיד	מ_בוי_סת_
פועל	הווה	שלישי	זכר 	יחיד	מ_בוי_ס_
פועל	הווה	שלישי	נקבה	יחיד	מ_בוי_סת_
פועל	הווה	ראשון	זכר 	רבים	מ_בוי_סים_
פועל	הווה	ראשון	נקבה	רבים	מ_בוי_סות_
פועל	הווה	שני 	זכר 	רבים	מ_בוי_סים_
פועל	הווה	שני 	נקבה	רבים	מ_בוי_סות_
פועל	הווה	שלישי	זכר 	רבים	מ_בוי_סים_
פועל	הווה	שלישי	נקבה	רבים	מ_בוי_סות_
פועל	עתיד	ראשון	זכר 	יחיד	א_בוי_ס_
פועל	עתיד	ראשון	נקבה	יחיד	א_בוי_ס_
פועל	עתיד	שני 	זכר 	יחיד	ת_בוי_ס_
פועל	עתיד	שני 	נקבה	יחיד	ת_בוי_סי_
פועל	עתיד	שלישי	זכר 	יחיד	י_בוי_ס_
פועל	עתיד	שלישי	נקבה	יחיד	ת_בוי_ס_
פועל	עתיד	ראשון	זכר 	רבים	נ_בוי_ס_
פועל	עתיד	ראשון	נקבה	רבים	נ_בוי_ס_
פועל	עתיד	שני 	זכר 	רבים	ת_בוי_סו_
פועל	עתיד	שני 	נקבה	רבים	ת_בוי_סנה_
פועל	עתיד	שלישי	זכר 	רבים	י_בוי_סו_
פועל	עתיד	שלישי	נקבה	רבים	ת_בוי_סנה_
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ב_סתי_
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ב_סתי_
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ב_סתי_
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ב_סת_
