פיעל	עבר 	שני 	זכר 	רבים	_זי_ק_רתם_
פיעל	עבר 	שני 	נקבה	רבים	_זי_ק_רתן_
פיעל	עבר 	שלישי	זכר 	רבים	_זי_ק_רו_
פיעל	עבר 	שלישי	נקבה	רבים	_זי_ק_רו_
פיעל	הווה	ראשון	זכר 	יחיד	מ_ז_ק_ר_
פיעל	הווה	ראשון	נקבה	יחיד	מ_ז_ק_רת_
פיעל	הווה	שני 	זכר 	יחיד	מ_ז_ק_ר_
פיעל	הווה	שני 	נקבה	יחיד	מ_ז_ק_רת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_ז_ק_ר_
פיעל	הווה	שלישי	נקבה	יחיד	מ_ז_ק_רת_
פיעל	הווה	ראשון	זכר 	רבים	מ_ז_ק_רים_
פיעל	הווה	ראשון	נקבה	רבים	מ_ז_ק_רות_
פיעל	הווה	שני 	זכר 	רבים	מ_ז_ק_רים_
פיעל	הווה	שני 	נקבה	רבים	מ_ז_ק_רות_
פיעל	הווה	שלישי	זכר 	רבים	מ_ז_ק_רים_
פיעל	הווה	שלישי	נקבה	רבים	מ_ז_ק_רות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_ז_ק_ר_
פיעל	עתיד	ראשון	נקבה	יחיד	א_ז_ק_ר_
פיעל	עתיד	שני 	זכר 	יחיד	ת_ז_ק_ר_
פיעל	עתיד	שני 	נקבה	יחיד	ת_ז_ק_רי_
פיעל	עתיד	שלישי	זכר 	יחיד	י_ז_ק_ר_
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ז_ק_ר_
פיעל	עתיד	ראשון	זכר 	רבים	נ_ז_ק_ר_
פיעל	עתיד	ראשון	נקבה	רבים	נ_ז_ק_ר_
פיעל	עתיד	שני 	זכר 	רבים	ת_ז_ק_רו_
פיעל	עתיד	שני 	נקבה	רבים	ת_ז_ק_רנה_
פיעל	עתיד	שלישי	זכר 	רבים	י_ז_ק_רו_
פיעל	עתיד	שלישי	נקבה	רבים	ת_ז_ק_רנה_
פיעל	ציווי	שני 	זכר 	יחיד	_ז_ק_ר_
פיעל	ציווי	שני 	נקבה	יחיד	_ז_ק_רי_
פיעל	ציווי	שני 	זכר 	רבים	_ז_ק_רו_
פיעל	ציווי	שני 	נקבה	רבים	_ז_ק_רנה_
פועל	עבר 	ראשון	זכר 	יחיד	_זו_ק_רתי_
