זקר
פעל 	הווה	_	_ 	_	ל_ז_קו_ר
פיעל	עבר 	שלישי	זכר 	יחיד	_זי_ק_ר
פיעל	עבר 	שלישי	נקבה	יחיד	_זי_ק_רה
פיעל	עבר 	ראשון	זכר 	רבים	_זי_ק_רנו
פיעל	עבר 	ראשון	נקבה	רבים	_זי_ק_רנו
פיעל	עבר 	שני 	זכר 	רבים	_זי_ק_רתמ
פיעל	עבר 	שני 	נקבה	רבים	_זי_ק_רתנ
פיעל	עבר 	שלישי	זכר 	רבים	_זי_ק_רו
פיעל	עבר 	שלישי	נקבה	רבים	_זי_ק_רו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ז_ק_ר
פיעל	הווה	ראשון	נקבה	יחיד	מ_ז_ק_רת
פיעל	הווה	שני 	זכר 	יחיד	מ_ז_ק_ר
פיעל	הווה	שני 	נקבה	יחיד	מ_ז_ק_רת
פיעל	הווה	שלישי	זכר 	יחיד	מ_ז_ק_ר
פיעל	הווה	שלישי	נקבה	יחיד	מ_ז_ק_רת
פיעל	הווה	ראשון	זכר 	רבים	מ_ז_ק_רימ
פיעל	הווה	ראשון	נקבה	רבים	מ_ז_ק_רות
פיעל	הווה	שני 	זכר 	רבים	מ_ז_ק_רימ
פיעל	הווה	שני 	נקבה	רבים	מ_ז_ק_רות
פיעל	הווה	שלישי	זכר 	רבים	מ_ז_ק_רימ
פיעל	הווה	שלישי	נקבה	רבים	מ_ז_ק_רות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ז_ק_ר
פיעל	עתיד	ראשון	נקבה	יחיד	א_ז_ק_ר
פיעל	עתיד	שני 	זכר 	יחיד	ת_ז_ק_ר
פיעל	עתיד	שני 	נקבה	יחיד	ת_ז_ק_רי
פיעל	עתיד	שלישי	זכר 	יחיד	י_ז_ק_ר
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ז_ק_ר
פיעל	עתיד	ראשון	זכר 	רבים	נ_ז_ק_ר
פיעל	עתיד	ראשון	נקבה	רבים	נ_ז_ק_ר
פיעל	עתיד	שני 	זכר 	רבים	ת_ז_ק_רו
פיעל	עתיד	שני 	נקבה	רבים	ת_ז_ק_רנה
פיעל	עתיד	שלישי	זכר 	רבים	י_ז_ק_רו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ז_ק_רנה
פיעל	ציווי	שני 	זכר 	יחיד	_ז_ק_ר
פיעל	ציווי	שני 	נקבה	יחיד	_ז_ק_רי
פיעל	ציווי	שני 	זכר 	רבים	_ז_ק_רו
פיעל	ציווי	שני 	נקבה	רבים	_ז_ק_רנה
פועל	עבר 	ראשון	זכר 	יחיד	_זו_ק_רתי
פועל	עבר 	ראשון	נקבה	יחיד	_זו_ק_רתי
פועל	עבר 	שני 	זכר 	יחיד	_זו_ק_רת
פועל	עבר 	שני 	נקבה	יחיד	_זו_ק_רת
פועל	עבר 	שלישי	זכר 	יחיד	_זו_ק_ר
פועל	עבר 	שלישי	נקבה	יחיד	_זו_ק_רה
פועל	עבר 	ראשון	זכר 	רבים	_זו_ק_רנו
