יצב
פעל 	הווה	_	_ 	_	ליצו_ב
נפעל	הווה	שני 	זכר 	יחיד	נוצ_ב
נפעל	הווה	שני 	נקבה	יחיד	נוצ_בת
נפעל	הווה	שלישי	זכר 	יחיד	נוצ_ב
נפעל	הווה	שלישי	נקבה	יחיד	נוצ_בת
נפעל	הווה	ראשון	זכר 	רבים	נוצ_בימ
נפעל	הווה	ראשון	נקבה	רבים	נוצ_בות
נפעל	הווה	שני 	זכר 	רבים	נוצ_בימ
נפעל	הווה	שני 	נקבה	רבים	נוצ_בות
נפעל	הווה	שלישי	זכר 	רבים	נוצ_בימ
נפעל	הווה	שלישי	נקבה	רבים	נוצ_בות
נפעל	עתיד	ראשון	זכר 	יחיד	אוצ_ב
נפעל	עתיד	ראשון	נקבה	יחיד	אוצ_ב
נפעל	עתיד	שני 	זכר 	יחיד	תיוצ_ב
נפעל	עתיד	שני 	נקבה	יחיד	תיוצ_בי
נפעל	עתיד	שלישי	זכר 	יחיד	ייוצ_ב
נפעל	עתיד	שלישי	נקבה	יחיד	תיוצ_ב
נפעל	עתיד	ראשון	זכר 	רבים	נוצ_ב
נפעל	עתיד	ראשון	נקבה	רבים	נוצ_ב
נפעל	עתיד	שני 	זכר 	רבים	תיוצ_בו
נפעל	עתיד	שני 	נקבה	רבים	תיוצ_בנה
נפעל	עתיד	שלישי	זכר 	רבים	ייצ_בו
נפעל	עתיד	שלישי	נקבה	רבים	תיוצ_בנה
פיעל	עבר 	ראשון	זכר 	יחיד	ייצ_בתי
פיעל	עבר 	ראשון	נקבה	יחיד	ייצ_בתי
פיעל	עבר 	שני 	זכר 	יחיד	ייצ_בת
פיעל	עבר 	שני 	נקבה	יחיד	ייצ_בת
פיעל	עבר 	שלישי	זכר 	יחיד	ייצ_ב
פיעל	עבר 	שלישי	נקבה	יחיד	ייצ_בה
פיעל	עבר 	ראשון	זכר 	רבים	ייצ_בנו
פיעל	עבר 	ראשון	נקבה	רבים	ייצ_בנו
פיעל	עבר 	שני 	זכר 	רבים	ייצ_בתמ
פיעל	עבר 	שני 	נקבה	רבים	ייצ_בתנ
פיעל	עבר 	שלישי	זכר 	רבים	ייצ_בו
פיעל	עבר 	שלישי	נקבה	רבים	ייצ_בו
פיעל	הווה	ראשון	זכר 	יחיד	מיצ_ב
פיעל	הווה	ראשון	נקבה	יחיד	מיצ_בת
פיעל	הווה	שני 	זכר 	יחיד	מיצ_ב
פיעל	הווה	שני 	נקבה	יחיד	מיצ_בת
פיעל	הווה	שלישי	זכר 	יחיד	מיצ_ב
פיעל	הווה	שלישי	נקבה	יחיד	מיצ_בת
פיעל	הווה	ראשון	זכר 	רבים	מיצ_בימ
פיעל	הווה	ראשון	נקבה	רבים	מיצ_בות
פיעל	הווה	שני 	זכר 	רבים	מיצ_בימ
פיעל	הווה	שני 	נקבה	רבים	מיצ_בות
פיעל	הווה	שלישי	זכר 	רבים	מיצ_בימ
פיעל	הווה	שלישי	נקבה	רבים	מיצ_בות
פיעל	עתיד	ראשון	זכר 	יחיד	איצ_ב
פיעל	עתיד	ראשון	נקבה	יחיד	איצ_ב
פיעל	עתיד	שני 	זכר 	יחיד	תיצ_ב
פיעל	עתיד	שני 	נקבה	יחיד	תיצ_בי
פיעל	עתיד	שלישי	זכר 	יחיד	ייצ_ב
