תשש
פעל 	הווה	_	_ 	_	ל_ת_שו_ש
נפעל	עבר 	שני 	נקבה	רבים	נ_תו_שתנ
נפעל	עבר 	שלישי	זכר 	רבים	נ_תו_שו
נפעל	עבר 	שלישי	נקבה	רבים	נ_תו_שו
נפעל	הווה	ראשון	זכר 	יחיד	נ_תו_ש
נפעל	הווה	ראשון	נקבה	יחיד	נ_תו_שה
נפעל	הווה	שני 	זכר 	יחיד	נ_תו_ש
נפעל	הווה	שני 	נקבה	יחיד	נ_תו_שה
נפעל	הווה	שלישי	זכר 	יחיד	נ_תו_ש
נפעל	הווה	שלישי	נקבה	יחיד	נ_תו_שה
נפעל	הווה	ראשון	זכר 	רבים	נ_תו_שימ
נפעל	הווה	ראשון	נקבה	רבים	נ_תו_שות
נפעל	הווה	שני 	זכר 	רבים	נ_תו_שימ
נפעל	הווה	שני 	נקבה	רבים	נ_תו_שות
נפעל	הווה	שלישי	זכר 	רבים	נ_תו_שימ
נפעל	הווה	שלישי	נקבה	רבים	נ_תו_שות
נפעל	עתיד	ראשון	זכר 	יחיד	א_תו_ש
נפעל	עתיד	ראשון	נקבה	יחיד	א_תו_ש
נפעל	עתיד	שני 	זכר 	יחיד	ת_תו_ש
נפעל	עתיד	שני 	נקבה	יחיד	ת_תו_שי
נפעל	עתיד	שלישי	זכר 	יחיד	י_תו_ש
נפעל	עתיד	שלישי	נקבה	יחיד	ת_תו_ש
נפעל	עתיד	ראשון	זכר 	רבים	נ_תו_ש
נפעל	עתיד	ראשון	נקבה	רבים	נ_תו_ש
נפעל	עתיד	שני 	זכר 	רבים	ת_תו_שו
נפעל	עתיד	שני 	נקבה	רבים	ת_תו_שנה
נפעל	עתיד	שלישי	זכר 	רבים	י_תו_שו
נפעל	עתיד	שלישי	נקבה	רבים	ת_תו_שנה
נפעל	ציווי	שני 	זכר 	יחיד	הי_תו_ש
נפעל	ציווי	שני 	נקבה	יחיד	הי_תו_שי
נפעל	ציווי	שני 	זכר 	רבים	הי_תו_שו
נפעל	ציווי	שני 	נקבה	רבים	הי_תו_שנה
פיעל	עבר 	ראשון	זכר 	יחיד	_תו_ש_שתי
פיעל	עבר 	ראשון	נקבה	יחיד	_תו_ש_שתי
פיעל	עבר 	שני 	זכר 	יחיד	_תו_ש_שת
פיעל	עבר 	שני 	נקבה	יחיד	_תו_ש_שת
פיעל	עבר 	שלישי	זכר 	יחיד	_תו_ש_ש
פיעל	עבר 	שלישי	נקבה	יחיד	_תו_ש_ש
פיעל	עבר 	ראשון	זכר 	רבים	_תו_ש_שנו
פיעל	עבר 	ראשון	נקבה	רבים	_תו_ש_שנו
פיעל	עבר 	שני 	זכר 	רבים	_תו_ש_שתמ
פיעל	עבר 	שני 	נקבה	רבים	_תו_ש_שתנ
פיעל	עבר 	שלישי	זכר 	רבים	_תו_ש_שו
פיעל	עבר 	שלישי	נקבה	רבים	_תו_ש_שו
פיעל	הווה	ראשון	זכר 	יחיד	מ_תו_ש_ש
פיעל	הווה	ראשון	נקבה	יחיד	מ_תו_ש_שת
פיעל	הווה	שני 	זכר 	יחיד	מ_תו_ש_ש
פיעל	הווה	שני 	נקבה	יחיד	מ_תו_ש_שת
פיעל	הווה	שלישי	זכר 	יחיד	מ_תו_ש_ש
פיעל	הווה	שלישי	נקבה	יחיד	מ_תו_ש_שת
פיעל	הווה	ראשון	זכר 	רבים	מ_תו_ש_שימ
פיעל	הווה	ראשון	נקבה	רבים	מ_תו_ש_שות
פיעל	הווה	שני 	זכר 	רבים	מ_תו_ש_שימ
פיעל	הווה	שני 	נקבה	רבים	מ_תו_ש_שות
פיעל	הווה	שלישי	זכר 	רבים	מ_תו_ש_שימ
פיעל	הווה	שלישי	נקבה	רבים	מ_תו_ש_שות
פיעל	עתיד	ראשון	זכר 	יחיד	א_תו_ש_ש
פיעל	עתיד	ראשון	נקבה	יחיד	א_תו_ש_ש
פיעל	עתיד	שני 	זכר 	יחיד	ת_תו_ש_ש
פיעל	עתיד	שני 	נקבה	יחיד	ת_תו_ש_שי
פיעל	עתיד	שלישי	זכר 	יחיד	י_תו_ש_ש
פיעל	עתיד	שלישי	נקבה	יחיד	ת_תו_ש_ש
פיעל	עתיד	ראשון	זכר 	רבים	נ_תו_ש_ש
פיעל	עתיד	ראשון	נקבה	רבים	נ_תו_ש_ש
פיעל	עתיד	שני 	זכר 	רבים	ת_תו_ש_שו
פיעל	עתיד	שני 	נקבה	רבים	ת_תו_ש_שו
פיעל	עתיד	שלישי	זכר 	רבים	י_תו_ש_שו
פיעל	עתיד	שלישי	נקבה	רבים	ת_תו_ש_שנה
פיעל	ציווי	שני 	זכר 	יחיד	_תו_ש_ש
פיעל	ציווי	שני 	נקבה	יחיד	_תו_ש_שי
פיעל	ציווי	שני 	זכר 	רבים	_תו_ש_שו
פיעל	ציווי	שני 	נקבה	רבים	_תו_ש_שנה
פועל	עבר 	ראשון	זכר 	יחיד	_תו_ש_שתי
פועל	עבר 	ראשון	נקבה	יחיד	_תו_ש_שתי
פועל	עבר 	שני 	זכר 	יחיד	_תו_ש_שת
פועל	עבר 	שני 	נקבה	יחיד	_תו_ש_שת
פועל	עבר 	שלישי	זכר 	יחיד	_תו_ש_ש
פועל	עבר 	שלישי	נקבה	יחיד	_תו_ש_ש
פועל	עבר 	ראשון	זכר 	רבים	_תו_ש_שנו
פועל	עבר 	ראשון	נקבה	רבים	_תו_ש_שנו
פועל	עבר 	שני 	זכר 	רבים	_תו_ש_שתמ
פועל	עבר 	שני 	נקבה	רבים	_תו_ש_שתנ
פועל	עבר 	שלישי	זכר 	רבים	_תו_ש_שו
פועל	עבר 	שלישי	נקבה	רבים	_תו_ש_שו
פועל	הווה	ראשון	זכר 	יחיד	מ_תו_ש_ש
פועל	הווה	ראשון	נקבה	יחיד	מ_תו_ש_שת
פועל	הווה	שני 	זכר 	יחיד	מ_תו_ש_ש
פועל	הווה	שני 	נקבה	יחיד	מ_תו_ש_שת
