תשש
פעל 	הווה	_	_ 	_	ל_ת_שו_ש
פועל	הווה	שלישי	זכר 	יחיד	מ_תו_ש_ש
פועל	הווה	שלישי	נקבה	יחיד	מ_תו_ש_שת
פועל	הווה	ראשון	זכר 	רבים	מ_תו_ש_שימ
פועל	הווה	ראשון	נקבה	רבים	מ_תו_ש_שות
פועל	הווה	שני 	זכר 	רבים	מ_תו_ש_שימ
פועל	הווה	שני 	נקבה	רבים	מ_תו_ש_שות
פועל	הווה	שלישי	זכר 	רבים	מ_תו_ש_שימ
פועל	הווה	שלישי	נקבה	רבים	מ_תו_ש_שות
פועל	עתיד	ראשון	זכר 	יחיד	א_תו_ש_ש
פועל	עתיד	ראשון	נקבה	יחיד	א_תו_ש_ש
פועל	עתיד	שני 	זכר 	יחיד	ת_תו_ש_ש
פועל	עתיד	שני 	נקבה	יחיד	ת_תו_ש_שי
פועל	עתיד	שלישי	זכר 	יחיד	י_תו_ש_ש
פועל	עתיד	שלישי	נקבה	יחיד	ת_תו_ש_ש
פועל	עתיד	ראשון	זכר 	רבים	נ_תו_ש_ש
פועל	עתיד	ראשון	נקבה	רבים	נ_תו_ש_ש
פועל	עתיד	שני 	זכר 	רבים	ת_תו_ש_שו
פועל	עתיד	שני 	נקבה	רבים	ת_תו_ש_שו
פועל	עתיד	שלישי	זכר 	רבים	י_תו_ש_שו
פועל	עתיד	שלישי	נקבה	רבים	ת_תו_ש_שנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ת_שתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ת_שתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ת_שתי
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ת_שת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_תי_ש
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_תי_ש
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ת_שנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ת_שנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ת_שתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_ת_שתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_תי_שו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_תי_שו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_תי_ש
הפעיל	הווה	ראשון	נקבה	יחיד	מ_תי_שה
הפעיל	הווה	שני 	זכר 	יחיד	מ_תי_ש
הפעיל	הווה	שני 	נקבה	יחיד	מ_תי_שה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_תי_ש
הפעיל	הווה	שלישי	נקבה	יחיד	מ_תי_שה
הפעיל	הווה	ראשון	זכר 	רבים	מ_תי_שימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_תי_שות
הפעיל	הווה	שני 	זכר 	רבים	מ_תי_שימ
הפעיל	הווה	שני 	נקבה	רבים	מ_תי_שות
הפעיל	הווה	שלישי	זכר 	רבים	מ_תי_שימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_תי_שות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_תי_ש
הפעיל	עתיד	ראשון	נקבה	יחיד	א_תי_ש
הפעיל	עתיד	שני 	זכר 	יחיד	ת_תי_שי
הפעיל	עתיד	שני 	נקבה	יחיד	ת_תי_שי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_תי_ש
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_תי_ש
הפעיל	עתיד	ראשון	זכר 	רבים	נ_תי_ש
