זרי
פיעל	הווה	שלישי	נקבה	יחיד	מ_ז_רה
פיעל	הווה	ראשון	זכר 	רבים	מ_ז_רימ
פיעל	הווה	ראשון	נקבה	רבים	מ_ז_רות
פיעל	הווה	שני 	זכר 	רבים	מ_ז_רימ
פיעל	הווה	שני 	נקבה	רבים	מ_ז_רות
פיעל	הווה	שלישי	זכר 	רבים	מ_ז_רימ
פיעל	הווה	שלישי	נקבה	רבים	מ_ז_רות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ז_רה
פיעל	עתיד	ראשון	נקבה	יחיד	א_ז_רה
פיעל	עתיד	שני 	זכר 	יחיד	ת_ז_רה
פיעל	עתיד	שני 	נקבה	יחיד	ת_ז_רי
פיעל	עתיד	שלישי	זכר 	יחיד	י_ז_רה
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ז_רה
פיעל	עתיד	ראשון	זכר 	רבים	נ_ז_רה
פיעל	עתיד	ראשון	נקבה	רבים	נ_ז_רה
פיעל	עתיד	שני 	זכר 	רבים	ת_ז_רו
פיעל	עתיד	שני 	נקבה	רבים	ת_ז_רינה
פיעל	עתיד	שלישי	זכר 	רבים	י_ז_רו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ז_רינה
פיעל	ציווי	שני 	זכר 	יחיד	_ז_רה
פיעל	ציווי	שני 	נקבה	יחיד	_ז_רי
פיעל	ציווי	שני 	זכר 	רבים	_ז_רו
פיעל	ציווי	שני 	נקבה	רבים	_ז_רינה
פועל	עבר 	ראשון	זכר 	יחיד	_זו_ריתי
פועל	עבר 	ראשון	נקבה	יחיד	_זו_ריתי
פועל	עבר 	שני 	זכר 	יחיד	_זו_רית
פועל	עבר 	שני 	נקבה	יחיד	_זו_רית
פועל	עבר 	שלישי	זכר 	יחיד	_זו_רה
פועל	עבר 	שלישי	נקבה	יחיד	_זו_רתה
פועל	עבר 	ראשון	זכר 	רבים	_זו_רינו
פועל	עבר 	ראשון	נקבה	רבים	_זו_רינו
פועל	עבר 	שני 	זכר 	רבים	_זו_ריתמ
פועל	עבר 	שני 	נקבה	רבים	_זו_ריתנ
פועל	עבר 	שלישי	זכר 	רבים	_זו_רו
פועל	עבר 	שלישי	נקבה	רבים	_זו_רו
פועל	הווה	ראשון	זכר 	יחיד	מ_זו_רה
פועל	הווה	ראשון	נקבה	יחיד	מ_זו_רה
פועל	הווה	שני 	זכר 	יחיד	מ_זו_רה
פועל	הווה	שני 	נקבה	יחיד	מ_זו_רה
פועל	הווה	שלישי	זכר 	יחיד	מ_זו_רה
פעל 	הווה	שלישי	נקבה	יחיד	מ_זו_רה
פועל	הווה	ראשון	זכר 	רבים	מ_זו_רימ
פועל	הווה	ראשון	נקבה	רבים	מ_זו_רות
פועל	הווה	שני 	זכר 	רבים	מ_זו_רימ
