טוח
פעל 	הווה	_	_ 	_	ל_טו_ח
פיעל	עבר 	שלישי	זכר 	רבים	_טיי_חו
פיעל	עבר 	שלישי	נקבה	רבים	_טיי_חו
פיעל	הווה	ראשון	זכר 	יחיד	מ_טיי_ח
פיעל	הווה	ראשון	נקבה	יחיד	מ_טיי_חת
פיעל	הווה	שני 	זכר 	יחיד	מ_טיי_ח
פיעל	הווה	שני 	נקבה	יחיד	מ_טיי_חת
פיעל	הווה	שלישי	זכר 	יחיד	מ_טיי_ח
פיעל	הווה	שלישי	נקבה	יחיד	מ_טיי_חת
פיעל	הווה	ראשון	זכר 	רבים	מ_טיי_חימ
פיעל	הווה	ראשון	נקבה	רבים	מ_טיי_חות
פיעל	הווה	שני 	זכר 	רבים	מ_טיי_חימ
פיעל	הווה	שני 	נקבה	רבים	מ_טיי_חות
פיעל	הווה	שלישי	זכר 	רבים	מ_טיי_חימ
פיעל	הווה	שלישי	נקבה	רבים	מ_טיי_חות
פיעל	עתיד	ראשון	זכר 	יחיד	א_טיי_ח
פיעל	עתיד	ראשון	נקבה	יחיד	א_טיי_ח
פיעל	עתיד	שני 	זכר 	יחיד	ת_טיי_ח
פיעל	עתיד	שני 	נקבה	יחיד	ת_טיי_חי
פיעל	עתיד	שלישי	זכר 	יחיד	י_טיי_ח
פיעל	עתיד	שלישי	נקבה	יחיד	ת_טיי_ח
פיעל	עתיד	ראשון	זכר 	רבים	נ_טיי_ח
פיעל	עתיד	ראשון	נקבה	רבים	נ_טיי_ח
פיעל	עתיד	שני 	זכר 	רבים	ת_טיי_חו
פיעל	עתיד	שני 	נקבה	רבים	ת_טיי_חנה
פיעל	עתיד	שלישי	זכר 	רבים	י_טיי_חו
פיעל	עתיד	שלישי	נקבה	רבים	ת_טיי_חנה
פיעל	ציווי	שני 	זכר 	יחיד	_טיי_ח
פיעל	ציווי	שני 	נקבה	יחיד	_טיי_חי
פיעל	ציווי	שני 	זכר 	רבים	_טיי_חו
פיעל	ציווי	שני 	נקבה	רבים	_טיי_חנה
