סרר
נפעל	הווה	שלישי	זכר 	יחיד	נ_סו_ר
נפעל	הווה	שלישי	נקבה	יחיד	נ_סו_רה
נפעל	הווה	ראשון	זכר 	רבים	נ_סו_רימ
נפעל	הווה	ראשון	נקבה	רבים	נ_סו_רות
נפעל	הווה	שני 	זכר 	רבים	נ_סו_רימ
נפעל	הווה	שני 	נקבה	רבים	נ_סו_רות
נפעל	הווה	שלישי	זכר 	רבים	נ_סו_רימ
נפעל	הווה	שלישי	נקבה	רבים	נ_סו_רות
נפעל	עתיד	ראשון	זכר 	יחיד	א_סו_ר
נפעל	עתיד	ראשון	נקבה	יחיד	א_סו_ר
נפעל	עתיד	שני 	זכר 	יחיד	ת_סו_ר
נפעל	עתיד	שני 	נקבה	יחיד	ת_סו_רי
נפעל	עתיד	שלישי	זכר 	יחיד	י_סו_ר
נפעל	עתיד	שלישי	נקבה	יחיד	ת_סו_ר
נפעל	עתיד	ראשון	זכר 	רבים	נ_סו_ר
נפעל	עתיד	ראשון	נקבה	רבים	נ_סו_ר
נפעל	עתיד	שני 	זכר 	רבים	ת_סו_רו
נפעל	עתיד	שני 	נקבה	רבים	ת_סו_רנה
נפעל	עתיד	שלישי	זכר 	רבים	י_סו_רו
נפעל	עתיד	שלישי	נקבה	רבים	ת_סו_רנה
נפעל	ציווי	שני 	זכר 	יחיד	הי_סו_ר
נפעל	ציווי	שני 	נקבה	יחיד	הי_סו_רי
נפעל	ציווי	שני 	זכר 	רבים	הי_סו_רו
נפעל	ציווי	שני 	נקבה	רבים	הי_סו_רנה
פיעל	עבר 	ראשון	זכר 	יחיד	_סו_ר_רתי
פיעל	עבר 	ראשון	נקבה	יחיד	_סו_ר_רתי
פיעל	עבר 	שני 	זכר 	יחיד	_סו_ר_רת
פיעל	עבר 	שני 	נקבה	יחיד	_סו_ר_רת
פיעל	עבר 	שלישי	זכר 	יחיד	_סו_ר_ר
פיעל	עבר 	שלישי	נקבה	יחיד	_סו_ר_ר
פיעל	עבר 	ראשון	זכר 	רבים	_סו_ר_רנו
פיעל	עבר 	ראשון	נקבה	רבים	_סו_ר_רנו
פיעל	עבר 	שני 	זכר 	רבים	_סו_ר_רתמ
פיעל	עבר 	שני 	נקבה	רבים	_סו_ר_רתנ
פיעל	עבר 	שלישי	זכר 	רבים	_סו_ר_רו
פיעל	עבר 	שלישי	נקבה	רבים	_סו_ר_רו
פיעל	הווה	ראשון	זכר 	יחיד	מ_סו_ר_ר
פיעל	הווה	ראשון	נקבה	יחיד	מ_סו_ר_רת
פיעל	הווה	שני 	זכר 	יחיד	מ_סו_ר_ר
פיעל	הווה	שני 	נקבה	יחיד	מ_סו_ר_רת
פיעל	הווה	שלישי	זכר 	יחיד	מ_סו_ר_ר
פיעל	הווה	שלישי	נקבה	יחיד	מ_סו_ר_רת
פיעל	הווה	ראשון	זכר 	רבים	מ_סו_ר_רימ
פיעל	הווה	ראשון	נקבה	רבים	מ_סו_ר_רות
פיעל	הווה	שני 	זכר 	רבים	מ_סו_ר_רימ
פיעל	הווה	שני 	נקבה	רבים	מ_סו_ר_רות
פיעל	הווה	שלישי	זכר 	רבים	מ_סו_ר_רימ
פיעל	הווה	שלישי	נקבה	רבים	מ_סו_ר_רות
פיעל	עתיד	ראשון	זכר 	יחיד	א_סו_ר_ר
פיעל	עתיד	ראשון	נקבה	יחיד	א_סו_ר_ר
פיעל	עתיד	שני 	זכר 	יחיד	ת_סו_ר_ר
פיעל	עתיד	שני 	נקבה	יחיד	ת_סו_ר_רי
פיעל	עתיד	שלישי	זכר 	יחיד	י_סו_ר_ר
פיעל	עתיד	שלישי	נקבה	יחיד	ת_סו_ר_ר
פיעל	עתיד	ראשון	זכר 	רבים	נ_סו_ר_ר
פיעל	עתיד	ראשון	נקבה	רבים	נ_סו_ר_ר
פיעל	עתיד	שני 	זכר 	רבים	ת_סו_ר_רו
פיעל	עתיד	שני 	נקבה	רבים	ת_סו_ר_רו
פיעל	עתיד	שלישי	זכר 	רבים	י_סו_ר_רו
פיעל	עתיד	שלישי	נקבה	רבים	ת_סו_ר_רנה
פיעל	ציווי	שני 	זכר 	יחיד	_סו_ר_ר
פיעל	ציווי	שני 	נקבה	יחיד	_סו_ר_רי
פיעל	ציווי	שני 	זכר 	רבים	_סו_ר_רו
פיעל	ציווי	שני 	נקבה	רבים	_סו_ר_רנה
פועל	עבר 	ראשון	זכר 	יחיד	_סו_ר_רתי
פועל	עבר 	ראשון	נקבה	יחיד	_סו_ר_רתי
פועל	עבר 	שני 	זכר 	יחיד	_סו_ר_רת
פועל	עבר 	שני 	נקבה	יחיד	_סו_ר_רת
פועל	עבר 	שלישי	זכר 	יחיד	_סו_ר_ר
פועל	עבר 	שלישי	נקבה	יחיד	_סו_ר_ר
פועל	עבר 	ראשון	זכר 	רבים	_סו_ר_רנו
פועל	עבר 	ראשון	נקבה	רבים	_סו_ר_רנו
פועל	עבר 	שני 	זכר 	רבים	_סו_ר_רתמ
פועל	עבר 	שני 	נקבה	רבים	_סו_ר_רתנ
פועל	עבר 	שלישי	זכר 	רבים	_סו_ר_רו
פועל	עבר 	שלישי	נקבה	רבים	_סו_ר_רו
פועל	הווה	ראשון	זכר 	יחיד	מ_סו_ר_ר
פועל	הווה	ראשון	נקבה	יחיד	מ_סו_ר_רת
פועל	הווה	שני 	זכר 	יחיד	מ_סו_ר_ר
פועל	הווה	שני 	נקבה	יחיד	מ_סו_ר_רת
פועל	הווה	שלישי	זכר 	יחיד	מ_סו_ר_ר
פועל	הווה	שלישי	נקבה	יחיד	מ_סו_ר_רת
פועל	הווה	ראשון	זכר 	רבים	מ_סו_ר_רימ
פועל	הווה	ראשון	נקבה	רבים	מ_סו_ר_רות
פועל	הווה	שני 	זכר 	רבים	מ_סו_ר_רימ
פועל	הווה	שני 	נקבה	רבים	מ_סו_ר_רות
פועל	הווה	שלישי	זכר 	רבים	מ_סו_ר_רימ
פועל	הווה	שלישי	נקבה	רבים	מ_סו_ר_רות
פועל	עתיד	ראשון	זכר 	יחיד	א_סו_ר_ר
פועל	עתיד	ראשון	נקבה	יחיד	א_סו_ר_ר
פועל	עתיד	שני 	זכר 	יחיד	ת_סו_ר_ר
פועל	עתיד	שני 	נקבה	יחיד	ת_סו_ר_רי
פועל	עתיד	שלישי	זכר 	יחיד	י_סו_ר_ר
פועל	עתיד	שלישי	נקבה	יחיד	ת_סו_ר_ר
פועל	עתיד	ראשון	זכר 	רבים	נ_סו_ר_ר
פועל	עתיד	ראשון	נקבה	רבים	נ_סו_ר_ר
פועל	עתיד	שני 	זכר 	רבים	ת_סו_ר_רו
פועל	עתיד	שני 	נקבה	רבים	ת_סו_ר_רו
פועל	עתיד	שלישי	זכר 	רבים	י_סו_ר_רו
פועל	עתיד	שלישי	נקבה	רבים	ת_סו_ר_רנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ס_רתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ס_רתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ס_רתי
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ס_רת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_סי_ר
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_סי_ר
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ס_רנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ס_רנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ס_רתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_ס_רתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_סי_רו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_סי_רו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_סי_ר
הפעיל	הווה	ראשון	נקבה	יחיד	מ_סי_רה
הפעיל	הווה	שני 	זכר 	יחיד	מ_סי_ר
הפעיל	הווה	שני 	נקבה	יחיד	מ_סי_רה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_סי_ר
הפעיל	הווה	שלישי	נקבה	יחיד	מ_סי_רה
הפעיל	הווה	ראשון	זכר 	רבים	מ_סי_רימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_סי_רות
הפעיל	הווה	שני 	זכר 	רבים	מ_סי_רימ
הפעיל	הווה	שני 	נקבה	רבים	מ_סי_רות
הפעיל	הווה	שלישי	זכר 	רבים	מ_סי_רימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_סי_רות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_סי_ר
הפעיל	עתיד	ראשון	נקבה	יחיד	א_סי_ר
הפעיל	עתיד	שני 	זכר 	יחיד	ת_סי_רי
הפעיל	עתיד	שני 	נקבה	יחיד	ת_סי_רי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_סי_ר
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_סי_ר
הפעיל	עתיד	ראשון	זכר 	רבים	נ_סי_ר
הפעיל	עתיד	ראשון	נקבה	רבים	נ_סי_ר
הפעיל	עתיד	שני 	זכר 	רבים	ת_סי_רו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ס_רנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ס_רו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ס_רנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ס_ר
הפעיל	ציווי	שני 	נקבה	יחיד	ה_סי_רי
הפעיל	ציווי	שני 	זכר 	רבים	ה_סי_רו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ס_רנה
הופעל	עבר 	ראשון	זכר 	יחיד	הו_ס_רתי
הופעל	עבר 	ראשון	נקבה	יחיד	הו_ס_רתי
הופעל	עבר 	שני 	זכר 	יחיד	הו_ס_רת
הופעל	עבר 	שני 	נקבה	יחיד	הו_ס_רת
הופעל	עבר 	שלישי	זכר 	יחיד	הו_ס_ר
הופעל	עבר 	שלישי	נקבה	יחיד	הו_ס_רה
הופעל	עבר 	ראשון	זכר 	רבים	הו_ס_רנו
הופעל	עבר 	ראשון	נקבה	רבים	הו_ס_רנו
הופעל	עבר 	שני 	זכר 	רבים	הו_ס_רתמ
הופעל	עבר 	שני 	נקבה	רבים	הו_ס_רתנ
הופעל	עבר 	שלישי	זכר 	רבים	הו_ס_רו
הופעל	עבר 	שלישי	נקבה	רבים	הו_ס_רו
הופעל	הווה	ראשון	זכר 	יחיד	מו_ס_ר
הופעל	הווה	ראשון	נקבה	יחיד	מו_ס_רת
הופעל	הווה	שני 	זכר 	יחיד	מו_ס_ר
הופעל	הווה	שני 	נקבה	יחיד	מו_ס_רת
הופעל	הווה	שלישי	זכר 	יחיד	מו_ס_ר
הופעל	הווה	שלישי	נקבה	יחיד	מו_ס_רת
הופעל	הווה	ראשון	זכר 	רבים	מו_ס_רימ
הופעל	הווה	ראשון	נקבה	רבים	מו_ס_רות
הופעל	הווה	שני 	זכר 	רבים	מו_ס_רימ
הופעל	הווה	שני 	נקבה	רבים	מו_ס_רות
הופעל	הווה	שלישי	זכר 	רבים	מו_ס_רימ
הופעל	הווה	שלישי	נקבה	רבים	מו_ס_רות
הופעל	עתיד	ראשון	זכר 	יחיד	או_ס_ר
הופעל	עתיד	ראשון	נקבה	יחיד	או_ס_ר
הופעל	עתיד	שני 	זכר 	יחיד	תו_ס_ר
הופעל	עתיד	שני 	נקבה	יחיד	תו_ס_רי
הופעל	עתיד	שלישי	זכר 	יחיד	יו_ס_ר
הופעל	עתיד	שלישי	נקבה	יחיד	תו_ס_ר
הופעל	עתיד	ראשון	זכר 	רבים	נו_ס_ר
הופעל	עתיד	ראשון	נקבה	רבים	נו_ס_ר
הופעל	עתיד	שני 	זכר 	רבים	תו_ס_רו
הופעל	עתיד	שני 	נקבה	רבים	תו_ס_רנה
הופעל	עתיד	שלישי	זכר 	רבים	יו_ס_רו
הופעל	עתיד	שלישי	נקבה	רבים	תו_ס_רנה
התפעל	עבר 	ראשון	זכר 	יחיד	ה_סת_ר_רתי
