קומ
פעל 	הווה	_	_ 	_	ל_קו_מ
פיעל	עבר 	שלישי	נקבה	רבים	_קי_ו_מו
פיעל	הווה	ראשון	זכר 	יחיד	מ_קי_ו_מ
פיעל	הווה	ראשון	נקבה	יחיד	מ_קי_ו_מת
פיעל	הווה	שני 	זכר 	יחיד	מ_קי_ו_מ
פיעל	הווה	שני 	נקבה	יחיד	מ_קי_ו_מת
פיעל	הווה	שלישי	זכר 	יחיד	מ_קי_ו_מ
פיעל	הווה	שלישי	נקבה	יחיד	מ_קי_ו_מת
פיעל	הווה	ראשון	זכר 	רבים	מ_קי_ו_מימ
פיעל	הווה	ראשון	נקבה	רבים	מ_קי_ו_מות
פיעל	הווה	שני 	זכר 	רבים	מ_קי_ו_מימ
פיעל	הווה	שני 	נקבה	רבים	מ_קי_ו_מות
פיעל	הווה	שלישי	זכר 	רבים	מ_קי_ו_מימ
פיעל	הווה	שלישי	נקבה	רבים	מ_קי_ו_מות
פיעל	עתיד	ראשון	זכר 	יחיד	א_קי_ו_מ
פיעל	עתיד	ראשון	נקבה	יחיד	א_קי_ו_מ
פיעל	עתיד	שני 	זכר 	יחיד	ת_קי_ו_מ
פיעל	עתיד	שני 	נקבה	יחיד	ת_קי_ו_מי
פיעל	עתיד	שלישי	זכר 	יחיד	י_קי_ו_מ
פיעל	עתיד	שלישי	נקבה	יחיד	ת_קי_ו_מ
פיעל	עתיד	ראשון	זכר 	רבים	נ_קי_ו_מ
פיעל	עתיד	ראשון	נקבה	רבים	נ_קי_ו_מ
פיעל	עתיד	שני 	זכר 	רבים	ת_קי_ו_מו
פיעל	עתיד	שני 	נקבה	רבים	ת_קי_ו_מנה
פיעל	עתיד	שלישי	זכר 	רבים	י_קי_ו_מו
פיעל	עתיד	שלישי	נקבה	רבים	ת_קי_ו_מנה
פיעל	ציווי	שני 	זכר 	יחיד	_קי_ו_מ
פיעל	ציווי	שני 	נקבה	יחיד	_קי_ו_מי
פיעל	ציווי	שני 	זכר 	רבים	_קי_ו_מו
פיעל	ציווי	שני 	נקבה	רבים	_קי_ו_מנה
פועל	עבר 	ראשון	זכר 	יחיד	_קו_ו_מתי
פועל	עבר 	ראשון	נקבה	יחיד	_קו_ו_מתי
פועל	עבר 	שני 	זכר 	יחיד	_קו_ו_מת
פועל	עבר 	שני 	נקבה	יחיד	_קו_ו_מת
פועל	עבר 	שלישי	זכר 	יחיד	_קו_ו_מ
פועל	עבר 	שלישי	נקבה	יחיד	_קו_ו_מה
פועל	עבר 	ראשון	זכר 	רבים	_קו_ו_מנו
פועל	עבר 	ראשון	נקבה	רבים	_קו_מינו
פועל	עבר 	שני 	זכר 	רבים	_קו_ו_מתמ
פועל	עבר 	שני 	נקבה	רבים	_קו_ו_מתנ
פועל	עבר 	שלישי	זכר 	רבים	_קו_ו_מו
פועל	עבר 	שלישי	נקבה	רבים	_קו_ו_מו
פועל	הווה	ראשון	זכר 	יחיד	מ_קו_ו_מ
פועל	הווה	ראשון	נקבה	יחיד	מ_קו_ו_מת
פועל	הווה	שני 	זכר 	יחיד	מ_קו_ו_מ
פועל	הווה	שני 	נקבה	יחיד	מ_קו_ו_מת
פועל	הווה	שלישי	זכר 	יחיד	מ_קו_ו_מ
פועל	הווה	שלישי	נקבה	יחיד	מ_קו_ו_מת
פועל	הווה	ראשון	זכר 	רבים	מ_קו_ו_מימ
פועל	הווה	ראשון	נקבה	רבים	מ_קו_ו_מות
פועל	הווה	שני 	זכר 	רבים	מ_קו_ו_מימ
פועל	הווה	שני 	נקבה	רבים	מ_קו_ו_מות
