לוי
פעל 	הווה	_	_ 	_	ל_לוות
פיעל	הווה	ראשון	זכר 	רבים	מ_לוימ
פיעל	הווה	ראשון	נקבה	רבים	מ_לוות
פיעל	הווה	שני 	זכר 	רבים	מ_לוימ
פיעל	הווה	שני 	נקבה	רבים	מ_לוות
פיעל	הווה	שלישי	זכר 	רבים	מ_לוימ
פיעל	הווה	שלישי	נקבה	רבים	מ_לוות
פיעל	עתיד	ראשון	זכר 	יחיד	א_לוה
פיעל	עתיד	ראשון	נקבה	יחיד	א_לוה
פיעל	עתיד	שני 	זכר 	יחיד	ת_לוה
פיעל	עתיד	שני 	נקבה	יחיד	ת_לוי
פיעל	עתיד	שלישי	זכר 	יחיד	י_לוה
פיעל	עתיד	שלישי	נקבה	יחיד	ת_לוה
פיעל	עתיד	ראשון	זכר 	רבים	נ_לוה
פיעל	עתיד	ראשון	נקבה	רבים	נ_לוה
פיעל	עתיד	שני 	זכר 	רבים	ת_לוו
פיעל	עתיד	שני 	נקבה	רבים	ת_לוינה
פיעל	עתיד	שלישי	זכר 	רבים	י_לוו
פיעל	עתיד	שלישי	נקבה	רבים	ת_לוינה
פיעל	ציווי	שני 	זכר 	יחיד	_לוה
פיעל	ציווי	שני 	נקבה	יחיד	_לוי
פיעל	ציווי	שני 	זכר 	רבים	_לוו
פיעל	ציווי	שני 	נקבה	רבים	_לוינה
פועל	עבר 	ראשון	זכר 	יחיד	_לוויתי
פועל	עבר 	ראשון	נקבה	יחיד	_לוויתי
פועל	עבר 	שני 	זכר 	יחיד	_לווית
פועל	עבר 	שני 	נקבה	יחיד	_לווית
פועל	עבר 	שלישי	זכר 	יחיד	_לווה
פועל	עבר 	שלישי	נקבה	יחיד	_לוותה
פועל	עבר 	ראשון	זכר 	רבים	_לווינו
פועל	עבר 	ראשון	נקבה	רבים	_לווינו
פועל	עבר 	שני 	זכר 	רבים	_לוויתמ
פועל	עבר 	שני 	נקבה	רבים	_לוויתנ
פועל	עבר 	שלישי	זכר 	רבים	_לוו
פועל	עבר 	שלישי	נקבה	רבים	_לוו
פועל	הווה	ראשון	זכר 	יחיד	מ_לווה
פועל	הווה	ראשון	נקבה	יחיד	מ_לווה
פועל	הווה	שני 	זכר 	יחיד	מ_לווה
פועל	הווה	שני 	נקבה	יחיד	מ_לווה
פועל	הווה	שלישי	זכר 	יחיד	מ_לווה
פעל 	הווה	שלישי	נקבה	יחיד	מ_לווה
פועל	הווה	ראשון	זכר 	רבים	מ_לווימ
פועל	הווה	ראשון	נקבה	רבים	מ_לוות
פועל	הווה	שני 	זכר 	רבים	מ_לווימ
פועל	הווה	שני 	נקבה	רבים	מ_לוות
פועל	הווה	שלישי	זכר 	רבים	מ_לווימ
פועל	הווה	שלישי	נקבה	רבים	מ_לוות
פועל	עתיד	ראשון	זכר 	יחיד	א_לווה
פועל	עתיד	ראשון	נקבה	יחיד	א_לווה
פועל	עתיד	שני 	זכר 	יחיד	ת_לווה
פועל	עתיד	שני 	נקבה	יחיד	ת_לווי
פועל	עתיד	שלישי	זכר 	יחיד	י_לווה
פועל	עתיד	שלישי	נקבה	יחיד	ת_לווה
פועל	עתיד	ראשון	זכר 	רבים	נ_לווה
פועל	עתיד	ראשון	נקבה	רבים	נ_לווה
פועל	עתיד	שני 	זכר 	רבים	ת_לוו
פועל	עתיד	שני 	נקבה	רבים	ת_לווינה
פועל	עתיד	שלישי	זכר 	רבים	י_לוו
פועל	עתיד	שלישי	נקבה	רבים	ת_לווינה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_לויתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_לויתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_לוית
הפעיל	עבר 	שני 	נקבה	יחיד	ה_לוית
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_לוה
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_לותה
הפעיל	עבר 	ראשון	זכר 	רבים	ה_לוינו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_לוינו
הפעיל	עבר 	שני 	זכר 	רבים	ה_לויתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_לויתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_לוו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_לוו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_לוה
הפעיל	הווה	ראשון	נקבה	יחיד	מ_לוה
הפעיל	הווה	שני 	זכר 	יחיד	מ_לוה
הפעיל	הווה	שני 	נקבה	יחיד	מ_לוה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_לוה
הפעיל	הווה	שלישי	נקבה	יחיד	מ_לוה
הפעיל	הווה	ראשון	זכר 	רבים	מ_לוימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_לוות
הפעיל	הווה	שני 	זכר 	רבים	מ_לוימ
הפעיל	הווה	שני 	נקבה	רבים	מ_לוות
הפעיל	הווה	שלישי	זכר 	רבים	מ_לוימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_לוות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_לוה
הפעיל	עתיד	ראשון	נקבה	יחיד	א_לוה
הפעיל	עתיד	שני 	זכר 	יחיד	ת_לוה
הפעיל	עתיד	שני 	נקבה	יחיד	ת_לוי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_לוה
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_לוה
הפעיל	עתיד	ראשון	זכר 	רבים	נ_לוה
הפעיל	עתיד	ראשון	נקבה	רבים	נ_לוה
הפעיל	עתיד	שני 	זכר 	רבים	ת_לוו
הפעיל	עתיד	שני 	נקבה	רבים	ת_לוינה
הפעיל	עתיד	שלישי	זכר 	רבים	י_לוו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_לוינה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_לוה
הפעיל	ציווי	שני 	נקבה	יחיד	ה_לוי
הפעיל	ציווי	שני 	זכר 	רבים	ה_לוו
הפעיל	ציווי	שני 	נקבה	רבים	ה_לוינה
הופעל 	עבר 	ראשון	זכר 	יחיד	ה_לויתי
הופעל 	עבר 	ראשון	נקבה	יחיד	ה_לויתי
הופעל 	עבר 	שני 	זכר 	יחיד	ה_לוית
הופעל 	עבר 	שני 	נקבה	יחיד	ה_לוית
הופעל 	עבר 	שלישי	זכר 	יחיד	ה_לוה
הופעל 	עבר 	שלישי	נקבה	יחיד	ה_לותה
הופעל 	עבר 	ראשון	זכר 	רבים	ה_לוינו
הופעל 	עבר 	ראשון	נקבה	רבים	ה_לוינו
הופעל 	עבר 	שני 	זכר 	רבים	ה_לויתמ
הופעל 	עבר 	שני 	נקבה	רבים	ה_לויתנ
הופעל 	עבר 	שלישי	זכר 	רבים	ה_לוו
הופעל 	עבר 	שלישי	נקבה	רבים	ה_לוו
הופעל 	הווה	ראשון	זכר 	יחיד	מ_לוה
הופעל 	הווה	ראשון	נקבה	יחיד	מ_לוה
הופעל 	הווה	שני 	זכר 	יחיד	מ_לוה
הופעל 	הווה	שני 	נקבה	יחיד	מ_לוה
הופעל 	הווה	שלישי	זכר 	יחיד	מ_לוה
הופעל 	הווה	שלישי	נקבה	יחיד	מ_לוה
הופעל 	הווה	ראשון	זכר 	רבים	מ_לוימ
הופעל 	הווה	ראשון	נקבה	רבים	מ_לוות
הופעל 	הווה	שני 	זכר 	רבים	מ_לוימ
הופעל 	הווה	שני 	נקבה	רבים	מ_לוות
הופעל 	הווה	שלישי	זכר 	רבים	מ_לוימ
הופעל 	הווה	שלישי	נקבה	רבים	מ_לוות
הופעל 	עתיד	ראשון	זכר 	יחיד	א_לוה
הופעל 	עתיד	ראשון	נקבה	יחיד	א_לוה
הופעל 	עתיד	שני 	זכר 	יחיד	ת_לוה
הופעל 	עתיד	שני 	נקבה	יחיד	ת_לוי
הופעל 	עתיד	שלישי	זכר 	יחיד	י_לוה
הופעל 	עתיד	שלישי	נקבה	יחיד	ת_לוה
הופעל 	עתיד	ראשון	זכר 	רבים	נ_לוה
הופעל 	עתיד	ראשון	נקבה	רבים	נ_לוה
הופעל 	עתיד	שני 	זכר 	רבים	ת_לוו
הופעל 	עתיד	שני 	נקבה	רבים	ת_לוינה
הופעל 	עתיד	שלישי	זכר 	רבים	י_לוו
הופעל 	עתיד	שלישי	נקבה	רבים	ת_לוינה
התפעל 	עבר 	ראשון	זכר 	יחיד	הת_לויתי
התפעל 	עבר 	ראשון	נקבה	יחיד	הת_לויתי
התפעל 	עבר 	שני 	זכר 	יחיד	הת_לוית
התפעל 	עבר 	שני 	נקבה	יחיד	הת_לוית
התפעל 	עבר 	שלישי	זכר 	יחיד	הת_לוה
התפעל 	עבר 	שלישי	נקבה	יחיד	הת_לותה
התפעל 	עבר 	ראשון	זכר 	רבים	הת_לוינו
התפעל 	עבר 	ראשון	נקבה	רבים	הת_לוינו
התפעל 	עבר 	שני 	זכר 	רבים	הת_לויתמ
