שטי
פעל 	הווה	_	_ 	_	ל_ש_טות
פיעל	הווה	ראשון	זכר 	יחיד	מ_ש_שה
פיעל	הווה	ראשון	נקבה	יחיד	מ_ש_שה
פיעל	הווה	שני 	זכר 	יחיד	מ_ש_שה
פיעל	הווה	שני 	נקבה	יחיד	מ_ש_שה
פיעל	הווה	שלישי	זכר 	יחיד	מ_ש_שה
פיעל	הווה	שלישי	נקבה	יחיד	מ_ש_שה
פיעל	הווה	ראשון	זכר 	רבים	מ_ש_שימ
פיעל	הווה	ראשון	נקבה	רבים	מ_ש_שות
פיעל	הווה	שני 	זכר 	רבים	מ_ש_שימ
פיעל	הווה	שני 	נקבה	רבים	מ_ש_שות
פיעל	הווה	שלישי	זכר 	רבים	מ_ש_שימ
פיעל	הווה	שלישי	נקבה	רבים	מ_ש_שות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ש_שה
פיעל	עתיד	ראשון	נקבה	יחיד	א_ש_שה
פיעל	עתיד	שני 	זכר 	יחיד	ת_ש_שה
פיעל	עתיד	שני 	נקבה	יחיד	ת_ש_שי
פיעל	עתיד	שלישי	זכר 	יחיד	י_ש_שה
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ש_שה
פיעל	עתיד	ראשון	זכר 	רבים	נ_ש_שה
פיעל	עתיד	ראשון	נקבה	רבים	נ_ש_שה
פיעל	עתיד	שני 	זכר 	רבים	ת_ש_שו
פיעל	עתיד	שני 	נקבה	רבים	ת_ש_שינה
פיעל	עתיד	שלישי	זכר 	רבים	י_ש_שו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ש_שינה
פיעל	ציווי	שני 	זכר 	יחיד	_ש_שה
פיעל	ציווי	שני 	נקבה	יחיד	_ש_שי
פיעל	ציווי	שני 	זכר 	רבים	_ש_שו
פיעל	ציווי	שני 	נקבה	רבים	_ש_שינה
פועל	עבר 	ראשון	זכר 	יחיד	_שו_שיתי
פועל	עבר 	ראשון	נקבה	יחיד	_שו_שיתי
פועל	עבר 	שני 	זכר 	יחיד	_שו_שית
פועל	עבר 	שני 	נקבה	יחיד	_שו_שית
פועל	עבר 	שלישי	זכר 	יחיד	_שו_שה
פועל	עבר 	שלישי	נקבה	יחיד	_שו_שתה
פועל	עבר 	ראשון	זכר 	רבים	_שו_שינו
פועל	עבר 	ראשון	נקבה	רבים	_שו_שינו
פועל	עבר 	שני 	זכר 	רבים	_שו_שיתמ
פועל	עבר 	שני 	נקבה	רבים	_שו_שיתנ
פועל	עבר 	שלישי	זכר 	רבים	_שו_שו
פועל	עבר 	שלישי	נקבה	רבים	_שו_שו
פועל	הווה	ראשון	זכר 	יחיד	מ_שו_שה
פועל	הווה	ראשון	נקבה	יחיד	מ_שו_שה
פועל	הווה	שני 	זכר 	יחיד	מ_שו_שה
פועל	הווה	שני 	נקבה	יחיד	מ_שו_שה
פועל	הווה	שלישי	זכר 	יחיד	מ_שו_שה
פעל 	הווה	שלישי	נקבה	יחיד	מ_שו_שה
פועל	הווה	ראשון	זכר 	רבים	מ_שו_שימ
פועל	הווה	ראשון	נקבה	רבים	מ_שו_שות
פועל	הווה	שני 	זכר 	רבים	מ_שו_שימ
פועל	הווה	שני 	נקבה	רבים	מ_שו_שות
פועל	הווה	שלישי	זכר 	רבים	מ_שו_שימ
פועל	הווה	שלישי	נקבה	רבים	מ_שו_שות
פועל	עתיד	ראשון	זכר 	יחיד	א_שו_שה
פועל	עתיד	ראשון	נקבה	יחיד	א_שו_שה
פועל	עתיד	שני 	זכר 	יחיד	ת_שו_שה
