ילד
פיעל	הווה	שני 	זכר 	יחיד	מ_י_ל_ד
פיעל	הווה	שני 	נקבה	יחיד	מ_י_ל_דת
פיעל	הווה	שלישי	זכר 	יחיד	מ_י_ל_ד
פיעל	הווה	שלישי	נקבה	יחיד	מ_י_ל_דת
פיעל	הווה	ראשון	זכר 	רבים	מ_י_ל_דימ
פיעל	הווה	ראשון	נקבה	רבים	מ_י_ל_דות
פיעל	הווה	שני 	זכר 	רבים	מ_י_ל_דימ
פיעל	הווה	שני 	נקבה	רבים	מ_י_ל_דות
פיעל	הווה	שלישי	זכר 	רבים	מ_י_ל_דימ
פיעל	הווה	שלישי	נקבה	רבים	מ_י_ל_דות
פיעל	עתיד	ראשון	זכר 	יחיד	א_י_ל_ד
פיעל	עתיד	ראשון	נקבה	יחיד	א_י_ל_ד
פיעל	עתיד	שני 	זכר 	יחיד	ת_י_ל_ד
פיעל	עתיד	שני 	נקבה	יחיד	ת_י_ל_די
פיעל	עתיד	שלישי	זכר 	יחיד	י_י_ל_ד
פיעל	עתיד	שלישי	נקבה	יחיד	ת_י_ל_ד
פיעל	עתיד	ראשון	זכר 	רבים	נ_י_ל_ד
פיעל	עתיד	ראשון	נקבה	רבים	נ_י_ל_ד
פיעל	עתיד	שני 	זכר 	רבים	ת_י_ל_דו
פיעל	עתיד	שני 	נקבה	רבים	ת_י_ל_דנה
פיעל	עתיד	שלישי	זכר 	רבים	י_י_ל_דו
פיעל	עתיד	שלישי	נקבה	רבים	ת_י_ל_דנה
פיעל	ציווי	שני 	זכר 	יחיד	_י_ל_ד
פיעל	ציווי	שני 	נקבה	יחיד	_י_ל_די
פיעל	ציווי	שני 	זכר 	רבים	_י_ל_דו
פיעל	ציווי	שני 	נקבה	רבים	_י_ל_דנה
פועל	עבר 	ראשון	זכר 	יחיד	_יו_ל_דתי
פועל	עבר 	ראשון	נקבה	יחיד	_יו_ל_דתי
פועל	עבר 	שני 	זכר 	יחיד	_יו_ל_דת
פועל	עבר 	שני 	נקבה	יחיד	_יו_ל_דת
פועל	עבר 	שלישי	זכר 	יחיד	_יו_ל_ד
פועל	עבר 	שלישי	נקבה	יחיד	_יו_ל_דה
פועל	עבר 	ראשון	זכר 	רבים	_יו_ל_דנו
פועל	עבר 	ראשון	נקבה	רבים	_יו_ל_דנו
פועל	עבר 	שני 	זכר 	רבים	_יו_ל_דתמ
פועל	עבר 	שני 	נקבה	רבים	_יו_ל_דתנ
פועל	עבר 	שלישי	זכר 	רבים	_יו_ל_דו
פועל	עבר 	שלישי	נקבה	רבים	_יו_ל_דו
פועל	הווה	ראשון	זכר 	יחיד	מ_יו_ל_ד
פועל	הווה	ראשון	נקבה	יחיד	מ_יו_ל_דת
פועל	הווה	שני 	זכר 	יחיד	מ_יו_ל_ד
פועל	הווה	שני 	נקבה	יחיד	מ_יו_ל_דת
פועל	הווה	שלישי	זכר 	יחיד	מ_יו_ל_ד
פועל	הווה	שלישי	נקבה	יחיד	מ_יו_ל_דת
פועל	הווה	ראשון	זכר 	רבים	מ_יו_ל_דימ
פועל	הווה	ראשון	נקבה	רבים	מ_יו_ל_דות
פועל	הווה	שני 	זכר 	רבים	מ_יו_ל_דימ
פועל	הווה	שני 	נקבה	רבים	מ_יו_ל_דות
פועל	הווה	שלישי	זכר 	רבים	מ_יו_ל_דימ
פועל	הווה	שלישי	נקבה	רבים	מ_יו_ל_דות
פועל	עתיד	ראשון	זכר 	יחיד	א_יו_ל_ד
פועל	עתיד	ראשון	נקבה	יחיד	א_יו_ל_ד
פועל	עתיד	שני 	זכר 	יחיד	ת_יו_ל_ד
פועל	עתיד	שני 	נקבה	יחיד	ת_יו_ל_די
פועל	עתיד	שלישי	זכר 	יחיד	י_יו_ל_ד
פועל	עתיד	שלישי	נקבה	יחיד	ת_יו_ל_ד
פועל	עתיד	ראשון	זכר 	רבים	נ_יו_ל_ד
פועל	עתיד	ראשון	נקבה	רבים	נ_יו_ל_ד
פועל	עתיד	שני 	זכר 	רבים	ת_יו_ל_דו
פועל	עתיד	שני 	נקבה	רבים	ת_יו_ל_דנה
פועל	עתיד	שלישי	זכר 	רבים	י_יו_ל_דו
פועל	עתיד	שלישי	נקבה	רבים	ת_יו_ל_דנה
הפעיל	עבר 	ראשון	זכר 	יחיד	הו_ל_דתי
הפעיל	עבר 	ראשון	נקבה	יחיד	הו_ל_דתי
הפעיל	עבר 	שני 	זכר 	יחיד	הו_ל_דת
הפעיל	עבר 	שני 	נקבה	יחיד	הו_ל_דת
הפעיל	עבר 	שלישי	זכר 	יחיד	הו_לי_ד
הפעיל	עבר 	שלישי	נקבה	יחיד	הו_לי_ד
הפעיל	עבר 	ראשון	זכר 	רבים	הו_ל_דנו
הפעיל	עבר 	ראשון	נקבה	רבים	הו_ל_דנו
הפעיל	עבר 	שני 	זכר 	רבים	הו_ל_דתמ
הפעיל	עבר 	שני 	נקבה	רבים	הו_ל_דתנ
הפעיל	עבר 	שלישי	זכר 	רבים	הו_לי_דו
הפעיל	עבר 	שלישי	נקבה	רבים	הו_לי_דו
הפעיל	הווה	ראשון	זכר 	יחיד	מו_לי_ד
הפעיל	הווה	ראשון	נקבה	יחיד	מו_לי_דה
הפעיל	הווה	שני 	זכר 	יחיד	מו_לי_ד
הפעיל	הווה	שני 	נקבה	יחיד	מו_לי_דה
הפעיל	הווה	שלישי	זכר 	יחיד	מו_לי_ד
הפעיל	הווה	שלישי	נקבה	יחיד	מו_לי_דה
הפעיל	הווה	ראשון	זכר 	רבים	מו_לי_דימ
הפעיל	הווה	ראשון	נקבה	רבים	מו_לי_דות
הפעיל	הווה	שני 	זכר 	רבים	מו_לי_דימ
הפעיל	הווה	שני 	נקבה	רבים	מו_לי_דות
הפעיל	הווה	שלישי	זכר 	רבים	מו_לי_דימ
הפעיל	הווה	שלישי	נקבה	רבים	מו_לי_דות
הפעיל	עתיד	ראשון	זכר 	יחיד	או_לי_ד
הפעיל	עתיד	ראשון	נקבה	יחיד	או_לי_ד
הפעיל	עתיד	שני 	זכר 	יחיד	תו_לי_ד
הפעיל	עתיד	שני 	נקבה	יחיד	תו_לי_די
הפעיל	עתיד	שלישי	זכר 	יחיד	יו_לי_ד
הפעיל	עתיד	שלישי	נקבה	יחיד	תו_לי_ד
הפעיל	עתיד	ראשון	זכר 	רבים	נו_לי_ד
הפעיל	עתיד	ראשון	נקבה	רבים	נו_לי_ד
הפעיל	עתיד	שני 	זכר 	רבים	תו_לי_דו
הפעיל	עתיד	שני 	נקבה	רבים	תו_ל_דנה
הפעיל	עתיד	שלישי	זכר 	רבים	יו_לי_דו
הפעיל	עתיד	שלישי	נקבה	רבים	תו_ל_דנה
הפעיל	ציווי	שני 	זכר 	יחיד	הו_ל_ד
הפעיל	ציווי	שני 	נקבה	יחיד	הו_לי_די
הפעיל	ציווי	שני 	זכר 	רבים	הו_לי_דו
הפעיל	ציווי	שני 	נקבה	רבים	הו_ל_דנה
הופעל	עבר 	ראשון	זכר 	יחיד	הו_ל_דתי
הופעל	עבר 	ראשון	נקבה	יחיד	הו_ל_דתי
הופעל	עבר 	שני 	זכר 	יחיד	הו_ל_דת
הופעל	עבר 	שני 	נקבה	יחיד	הו_ל_דת
הופעל	עבר 	שלישי	זכר 	יחיד	הו_ל_ד
הופעל	עבר 	שלישי	נקבה	יחיד	הו_ל_דה
הופעל	עבר 	ראשון	זכר 	רבים	הו_ל_דנו
הופעל	עבר 	ראשון	נקבה	רבים	הו_ל_דנו
הופעל	עבר 	שני 	זכר 	רבים	הו_ל_דתמ
הופעל	עבר 	שני 	נקבה	רבים	הו_ל_דתנ
הופעל	עבר 	שלישי	זכר 	רבים	הו_ל_דו
הופעל	עבר 	שלישי	נקבה	רבים	הו_ל_דו
הופעל	הווה	ראשון	זכר 	יחיד	מו_ל_ד
הופעל	הווה	ראשון	נקבה	יחיד	מו_ל_דת
הופעל	הווה	שני 	זכר 	יחיד	מו_ל_ד
הופעל	הווה	שני 	נקבה	יחיד	מו_ל_דת
הופעל	הווה	שלישי	זכר 	יחיד	מו_ל_ד
הופעל	הווה	שלישי	נקבה	יחיד	מו_ל_דת
הופעל	הווה	ראשון	זכר 	רבים	מו_ל_דימ
הופעל	הווה	ראשון	נקבה	רבים	מו_ל_דות
הופעל	הווה	שני 	זכר 	רבים	מו_ל_דימ
הופעל	הווה	שני 	נקבה	רבים	מו_ל_דות
הופעל	הווה	שלישי	זכר 	רבים	מו_ל_דימ
הופעל	הווה	שלישי	נקבה	רבים	מו_ל_דות
הופעל	עתיד	ראשון	זכר 	יחיד	או_ל_ד
הופעל	עתיד	ראשון	נקבה	יחיד	או_ל_ד
הופעל	עתיד	שני 	זכר 	יחיד	תו_ל_ד
הופעל	עתיד	שני 	נקבה	יחיד	תו_ל_די
הופעל	עתיד	שלישי	זכר 	יחיד	יו_ל_ד
הופעל	עתיד	שלישי	נקבה	יחיד	תו_ל_ד
הופעל	עתיד	ראשון	זכר 	רבים	נו_ל_ד
הופעל	עתיד	ראשון	נקבה	רבים	נו_ל_ד
הופעל	עתיד	שני 	זכר 	רבים	תו_ל_דו
הופעל	עתיד	שני 	נקבה	רבים	תו_ל_דנה
הופעל	עתיד	שלישי	זכר 	רבים	יו_ל_דו
הופעל	עתיד	שלישי	נקבה	רבים	תו_ל_דנה
התפעל	עבר 	ראשון	זכר 	יחיד	הת_י_ל_דתי
התפעל	עבר 	ראשון	נקבה	יחיד	הת_י_ל_דתי
התפעל	עבר 	שני 	זכר 	יחיד	הת_י_ל_דת
התפעל	עבר 	שני 	נקבה	יחיד	הת_י_ל_דת
התפעל	עבר 	שלישי	זכר 	יחיד	הת_י_ל_ד
התפעל	עבר 	שלישי	נקבה	יחיד	הת_י_ל_דה
התפעל	עבר 	ראשון	זכר 	רבים	הת_י_ל_דנו
התפעל	עבר 	ראשון	נקבה	רבים	הת_י_ל_דנו
התפעל	עבר 	שני 	זכר 	רבים	הת_י_ל_דתמ
התפעל	עבר 	שני 	נקבה	רבים	הת_י_ל_דתנ
התפעל	עבר 	שלישי	זכר 	רבים	הת_י_ל_דו
התפעל	עבר 	שלישי	נקבה	רבים	הת_י_ל_דו
התפעל	הווה	ראשון	זכר 	יחיד	מת_י_ל_ד
התפעל	הווה	ראשון	נקבה	יחיד	מת_י_ל_דת
התפעל	הווה	שני 	זכר 	יחיד	מת_י_ל_ד
התפעל	הווה	שני 	נקבה	יחיד	מת_י_ל_דת
התפעל	הווה	שלישי	זכר 	יחיד	מת_י_ל_ד
התפעל	הווה	שלישי	נקבה	יחיד	מת_י_ל_דת
התפעל	הווה	ראשון	זכר 	רבים	מת_י_ל_דימ
התפעל	הווה	ראשון	נקבה	רבים	מת_י_ל_דות
התפעל	הווה	שני 	זכר 	רבים	מת_י_ל_דימ
התפעל	הווה	שני 	נקבה	רבים	מת_י_ל_דות
התפעל	הווה	שלישי	זכר 	רבים	מת_י_ל_דימ
התפעל	הווה	שלישי	נקבה	רבים	מת_י_ל_דות
התפעל	עתיד	ראשון	זכר 	יחיד	את_י_ל_ד
התפעל	עתיד	ראשון	נקבה	יחיד	את_י_ל_ד
התפעל	עתיד	שני 	זכר 	יחיד	תת_י_ל_ד
התפעל	עתיד	שני 	נקבה	יחיד	תת_י_ל_די
התפעל	עתיד	שלישי	זכר 	יחיד	ית_י_ל_ד
התפעל	עתיד	שלישי	נקבה	יחיד	תת_י_ל_ד
התפעל	עתיד	ראשון	זכר 	רבים	נת_י_ל_ד
התפעל	עתיד	ראשון	נקבה	רבים	נת_י_ל_ד
התפעל	עתיד	שני 	זכר 	רבים	תת_י_ל_דו
התפעל	עתיד	שני 	נקבה	רבים	תת_י_ל_דנה
התפעל	עתיד	שלישי	זכר 	רבים	ית_י_ל_דו
התפעל	עתיד	שלישי	נקבה	רבים	תת_י_ל_דנה
התפעל	ציווי	שני 	זכר 	יחיד	הת_י_ל_ד
התפעל	ציווי	שני 	נקבה	יחיד	הת_י_ל_די
התפעל	ציווי	שני 	זכר 	רבים	הת_י_ל_דו
התפעל	ציווי	שני 	נקבה	רבים	הת_י_ל_דנה
