צלי
פיעל	הווה	שלישי	נקבה	יחיד	מ_צ_לה
פיעל	הווה	ראשון	זכר 	רבים	מ_צ_לים
פיעל	הווה	ראשון	נקבה	רבים	מ_צ_לות
פיעל	הווה	שני 	זכר 	רבים	מ_צ_לים
פיעל	הווה	שני 	נקבה	רבים	מ_צ_לות
פיעל	הווה	שלישי	זכר 	רבים	מ_צ_לים
פיעל	הווה	שלישי	נקבה	רבים	מ_צ_לות
פיעל	עתיד	ראשון	זכר 	יחיד	א_צ_לה
פיעל	עתיד	ראשון	נקבה	יחיד	א_צ_לה
פיעל	עתיד	שני 	זכר 	יחיד	ת_צ_לה
פיעל	עתיד	שני 	נקבה	יחיד	ת_צ_לי
פיעל	עתיד	שלישי	זכר 	יחיד	י_צ_לה
פיעל	עתיד	שלישי	נקבה	יחיד	ת_צ_לה
פיעל	עתיד	ראשון	זכר 	רבים	נ_צ_לה
פיעל	עתיד	ראשון	נקבה	רבים	נ_צ_לה
פיעל	עתיד	שני 	זכר 	רבים	ת_צ_לו
פיעל	עתיד	שני 	נקבה	רבים	ת_צ_לינה
פיעל	עתיד	שלישי	זכר 	רבים	י_צ_לו
פיעל	עתיד	שלישי	נקבה	רבים	ת_צ_לינה
פיעל	ציווי	שני 	זכר 	יחיד	_צ_לה
פיעל	ציווי	שני 	נקבה	יחיד	_צ_לי
פיעל	ציווי	שני 	זכר 	רבים	_צ_לו
פיעל	ציווי	שני 	נקבה	רבים	_צ_לינה
פועל	עבר 	ראשון	זכר 	יחיד	_צו_ליתי
פועל	עבר 	ראשון	נקבה	יחיד	_צו_ליתי
פועל	עבר 	שני 	זכר 	יחיד	_צו_לית
פועל	עבר 	שני 	נקבה	יחיד	_צו_לית
פועל	עבר 	שלישי	זכר 	יחיד	_צו_לה
פועל	עבר 	שלישי	נקבה	יחיד	_צו_לתה
פועל	עבר 	ראשון	זכר 	רבים	_צו_לינו
פועל	עבר 	ראשון	נקבה	רבים	_צו_לינו
פועל	עבר 	שני 	זכר 	רבים	_צו_ליתם
פועל	עבר 	שני 	נקבה	רבים	_צו_ליתן
פועל	עבר 	שלישי	זכר 	רבים	_צו_לו
פועל	עבר 	שלישי	נקבה	רבים	_צו_לו
פועל	הווה	ראשון	זכר 	יחיד	מ_צו_לה
פועל	הווה	ראשון	נקבה	יחיד	מ_צו_לה
פועל	הווה	שני 	זכר 	יחיד	מ_צו_לה
פועל	הווה	שני 	נקבה	יחיד	מ_צו_לה
פועל	הווה	שלישי	זכר 	יחיד	מ_צו_לה
פעל 	הווה	שלישי	נקבה	יחיד	מ_צו_לה
פועל	הווה	ראשון	זכר 	רבים	מ_צו_לים
פועל	הווה	ראשון	נקבה	רבים	מ_צו_לות
פועל	הווה	שני 	זכר 	רבים	מ_צו_לים
פועל	הווה	שני 	נקבה	רבים	מ_צו_לות
פועל	הווה	שלישי	זכר 	רבים	מ_צו_לים
פועל	הווה	שלישי	נקבה	רבים	מ_צו_לות
פועל	עתיד	ראשון	זכר 	יחיד	א_צו_לה
פועל	עתיד	ראשון	נקבה	יחיד	א_צו_לה
פועל	עתיד	שני 	זכר 	יחיד	ת_צו_לה
פועל	עתיד	שני 	נקבה	יחיד	ת_צו_לי
פועל	עתיד	שלישי	זכר 	יחיד	י_צו_לה
פועל	עתיד	שלישי	נקבה	יחיד	ת_צו_לה
פועל	עתיד	ראשון	זכר 	רבים	נ_צו_לה
פועל	עתיד	ראשון	נקבה	רבים	נ_צו_לה
פועל	עתיד	שני 	זכר 	רבים	ת_צו_לו
פועל	עתיד	שני 	נקבה	רבים	ת_צו_לינה
פועל	עתיד	שלישי	זכר 	רבים	י_צו_לו
פועל	עתיד	שלישי	נקבה	רבים	ת_צו_לינה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_צ_ליתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_צ_ליתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_צ_לית
הפעיל	עבר 	שני 	נקבה	יחיד	ה_צ_לית
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_צ_לה
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_צ_לתה
הפעיל	עבר 	ראשון	זכר 	רבים	ה_צ_לינו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_צ_לינו
הפעיל	עבר 	שני 	זכר 	רבים	ה_צ_ליתם
הפעיל	עבר 	שני 	נקבה	רבים	ה_צ_ליתן
הפעיל	עבר 	שלישי	זכר 	רבים	ה_צ_לו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_צ_לו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_צ_לה
הפעיל	הווה	ראשון	נקבה	יחיד	מ_צ_לה
הפעיל	הווה	שני 	זכר 	יחיד	מ_צ_לה
הפעיל	הווה	שני 	נקבה	יחיד	מ_צ_לה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_צ_לה
הפעיל	הווה	שלישי	נקבה	יחיד	מ_צ_לה
הפעיל	הווה	ראשון	זכר 	רבים	מ_צ_לים
הפעיל	הווה	ראשון	נקבה	רבים	מ_צ_לות
הפעיל	הווה	שני 	זכר 	רבים	מ_צ_לים
הפעיל	הווה	שני 	נקבה	רבים	מ_צ_לות
הפעיל	הווה	שלישי	זכר 	רבים	מ_צ_לים
הפעיל	הווה	שלישי	נקבה	רבים	מ_צ_לות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_צ_לה
הפעיל	עתיד	ראשון	נקבה	יחיד	א_צ_לה
הפעיל	עתיד	שני 	זכר 	יחיד	ת_צ_לה
הפעיל	עתיד	שני 	נקבה	יחיד	ת_צ_לי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_צ_לה
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_צ_לה
הפעיל	עתיד	ראשון	זכר 	רבים	נ_צ_לה
הפעיל	עתיד	ראשון	נקבה	רבים	נ_צ_לה
הפעיל	עתיד	שני 	זכר 	רבים	ת_צ_לו
הפעיל	עתיד	שני 	נקבה	רבים	ת_צ_לינה
הפעיל	עתיד	שלישי	זכר 	רבים	י_צ_לו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_צ_לינה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_צ_לה
הפעיל	ציווי	שני 	נקבה	יחיד	ה_צ_לי
הפעיל	ציווי	שני 	זכר 	רבים	ה_צ_לו
הפעיל	ציווי	שני 	נקבה	רבים	ה_צ_לינה
הופעל 	עבר 	ראשון	זכר 	יחיד	ה_צ_ליתי
הופעל 	עבר 	ראשון	נקבה	יחיד	ה_צ_ליתי
הופעל 	עבר 	שני 	זכר 	יחיד	ה_צ_לית
הופעל 	עבר 	שני 	נקבה	יחיד	ה_צ_לית
הופעל 	עבר 	שלישי	זכר 	יחיד	ה_צ_לה
הופעל 	עבר 	שלישי	נקבה	יחיד	ה_צ_לתה
הופעל 	עבר 	ראשון	זכר 	רבים	ה_צ_לינו
הופעל 	עבר 	ראשון	נקבה	רבים	ה_צ_לינו
הופעל 	עבר 	שני 	זכר 	רבים	ה_צ_ליתם
הופעל 	עבר 	שני 	נקבה	רבים	ה_צ_ליתן
הופעל 	עבר 	שלישי	זכר 	רבים	ה_צ_לו
הופעל 	עבר 	שלישי	נקבה	רבים	ה_צ_לו
הופעל 	הווה	ראשון	זכר 	יחיד	מ_צ_לה
הופעל 	הווה	ראשון	נקבה	יחיד	מ_צ_לה
הופעל 	הווה	שני 	זכר 	יחיד	מ_צ_לה
הופעל 	הווה	שני 	נקבה	יחיד	מ_צ_לה
הופעל 	הווה	שלישי	זכר 	יחיד	מ_צ_לה
הופעל 	הווה	שלישי	נקבה	יחיד	מ_צ_לה
הופעל 	הווה	ראשון	זכר 	רבים	מ_צ_לים
הופעל 	הווה	ראשון	נקבה	רבים	מ_צ_לות
הופעל 	הווה	שני 	זכר 	רבים	מ_צ_לים
הופעל 	הווה	שני 	נקבה	רבים	מ_צ_לות
הופעל 	הווה	שלישי	זכר 	רבים	מ_צ_לים
הופעל 	הווה	שלישי	נקבה	רבים	מ_צ_לות
הופעל 	עתיד	ראשון	זכר 	יחיד	א_צ_לה
הופעל 	עתיד	ראשון	נקבה	יחיד	א_צ_לה
הופעל 	עתיד	שני 	זכר 	יחיד	ת_צ_לה
הופעל 	עתיד	שני 	נקבה	יחיד	ת_צ_לי
הופעל 	עתיד	שלישי	זכר 	יחיד	י_צ_לה
הופעל 	עתיד	שלישי	נקבה	יחיד	ת_צ_לה
הופעל 	עתיד	ראשון	זכר 	רבים	נ_צ_לה
הופעל 	עתיד	ראשון	נקבה	רבים	נ_צ_לה
הופעל 	עתיד	שני 	זכר 	רבים	ת_צ_לו
הופעל 	עתיד	שני 	נקבה	רבים	ת_צ_לינה
הופעל 	עתיד	שלישי	זכר 	רבים	י_צ_לו
הופעל 	עתיד	שלישי	נקבה	רבים	ת_צ_לינה
התפעל 	עבר 	ראשון	זכר 	יחיד	ה_צט_ליתי
התפעל 	עבר 	ראשון	נקבה	יחיד	ה_צט_ליתי
התפעל 	עבר 	שני 	זכר 	יחיד	ה_צט_לית
התפעל 	עבר 	שני 	נקבה	יחיד	ה_צט_לית
התפעל 	עבר 	שלישי	זכר 	יחיד	ה_צט_לה
התפעל 	עבר 	שלישי	נקבה	יחיד	ה_צט_לתה
התפעל 	עבר 	ראשון	זכר 	רבים	ה_צט_לינו
התפעל 	עבר 	ראשון	נקבה	רבים	ה_צט_לינו
התפעל 	עבר 	שני 	זכר 	רבים	ה_צט_ליתם
התפעל 	עבר 	שני 	נקבה	רבים	ה_צט_ליתן
התפעל 	עבר 	שלישי	זכר 	רבים	ה_צט_לו
התפעל 	עבר 	שלישי	נקבה	רבים	ה_צט_לו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_צט_לה
התפעל 	הווה	ראשון	נקבה	יחיד	מ_צט_לה
התפעל 	הווה	שני 	זכר 	יחיד	מ_צט_לה
התפעל 	הווה	שני 	נקבה	יחיד	מ_צט_לה
התפעל 	הווה	שלישי	זכר 	יחיד	מ_צט_לה
התפעל 	הווה	שלישי	נקבה	יחיד	מ_צט_לה
התפעל 	הווה	ראשון	זכר 	רבים	מ_צט_לים
התפעל 	הווה	ראשון	נקבה	רבים	מ_צט_לות
התפעל 	הווה	שני 	זכר 	רבים	מ_צט_לים
התפעל 	הווה	שני 	נקבה	רבים	מ_צט_לות
התפעל 	הווה	שלישי	זכר 	רבים	מ_צט_לים
התפעל 	הווה	שלישי	נקבה	רבים	מ_צט_לות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_צט_לה
התפעל 	עתיד	ראשון	נקבה	יחיד	א_צט_לה
התפעל 	עתיד	שני 	זכר 	יחיד	ת_צט_לה
התפעל 	עתיד	שני 	נקבה	יחיד	ת_צט_לי
התפעל 	עתיד	שלישי	זכר 	יחיד	י_צט_לה
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_צט_לה
התפעל 	עתיד	ראשון	זכר 	רבים	נ_צט_לה
התפעל 	עתיד	ראשון	נקבה	רבים	נ_צט_לה
התפעל 	עתיד	שני 	זכר 	רבים	ת_צט_לו
התפעל 	עתיד	שני 	נקבה	רבים	ת_צט_לינה
התפעל 	עתיד	שלישי	זכר 	רבים	י_צט_לו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_צט_לינה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_צט_לה
התפעל 	ציווי	שני 	נקבה	יחיד	ה_צט_לי
התפעל 	ציווי	שני 	זכר 	רבים	ה_צט_לו
התפעל 	ציווי	שני 	נקבה	רבים	ה_צט_לינה
