טוי
פעל 	הווה	_	_ 	_	ל_טוות
התפעל 	עתיד	ראשון	זכר 	רבים	נ_טוה
התפעל 	עתיד	ראשון	נקבה	רבים	נ_טוה
התפעל 	עתיד	שני 	זכר 	רבים	ת_טוו
התפעל 	עתיד	שני 	נקבה	רבים	ת_טוינה
התפעל 	עתיד	שלישי	זכר 	רבים	י_טוו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_טוינה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_טוה
התפעל 	ציווי	שני 	נקבה	יחיד	ה_טוי
התפעל 	ציווי	שני 	זכר 	רבים	ה_טוו
התפעל 	ציווי	שני 	נקבה	רבים	ה_טוינה
