צוד
פעל 	הווה	_	_ 	_	ל_צו_ד
פועל	הווה	שלישי	נקבה	רבים	מ_צוי_דות
פועל	עתיד	ראשון	זכר 	יחיד	א_צוי_ד
פועל	עתיד	ראשון	נקבה	יחיד	א_צוי_ד
פועל	עתיד	שני 	זכר 	יחיד	ת_צוי_ד
פועל	עתיד	שני 	נקבה	יחיד	ת_צוי_די
פועל	עתיד	שלישי	זכר 	יחיד	י_צוי_ד
פועל	עתיד	שלישי	נקבה	יחיד	ת_צוי_ד
פועל	עתיד	ראשון	זכר 	רבים	נ_צוי_ד
פועל	עתיד	ראשון	נקבה	רבים	נ_צוי_ד
פועל	עתיד	שני 	זכר 	רבים	ת_צוי_דו
פועל	עתיד	שני 	נקבה	רבים	ת_צוי_דנה
פועל	עתיד	שלישי	זכר 	רבים	י_צוי_דו
פועל	עתיד	שלישי	נקבה	רבים	ת_צוי_דנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_צ_דתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_צ_דתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_צ_דתי
הפעיל	עבר 	שני 	נקבה	יחיד	ה_צ_דת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_צי_ד
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_צי_ד
הפעיל	עבר 	ראשון	זכר 	רבים	ה_צ_דנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_צ_דנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_צ_דתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_צ_דתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_צי_דו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_צי_דו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_צי_ד
הפעיל	הווה	ראשון	נקבה	יחיד	מ_צי_דה
הפעיל	הווה	שני 	זכר 	יחיד	מ_צי_ד
הפעיל	הווה	שני 	נקבה	יחיד	מ_צי_דה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_צי_ד
הפעיל	הווה	שלישי	נקבה	יחיד	מ_צי_דה
הפעיל	הווה	ראשון	זכר 	רבים	מ_צי_דימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_צי_דות
הפעיל	הווה	שני 	זכר 	רבים	מ_צי_דימ
הפעיל	הווה	שני 	נקבה	רבים	מ_צי_דות
הפעיל	הווה	שלישי	זכר 	רבים	מ_צי_דימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_צי_דות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_צי_ד
הפעיל	עתיד	ראשון	נקבה	יחיד	א_צי_ד
הפעיל	עתיד	שני 	זכר 	יחיד	ת_צי_די
הפעיל	עתיד	שני 	נקבה	יחיד	ת_צי_די
הפעיל	עתיד	שלישי	זכר 	יחיד	י_צי_ד
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_צי_ד
הפעיל	עתיד	ראשון	זכר 	רבים	נ_צי_ד
הפעיל	עתיד	ראשון	נקבה	רבים	נ_צי_ד
הפעיל	עתיד	שני 	זכר 	רבים	ת_צי_דו
הפעיל	עתיד	שני 	נקבה	רבים	ת_צ_דנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_צ_דו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_צ_דנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_צ_ד
הפעיל	ציווי	שני 	נקבה	יחיד	ה_צי_די
הפעיל	ציווי	שני 	זכר 	רבים	ה_צי_דו
הפעיל	ציווי	שני 	נקבה	רבים	ה_צ_דנה
הופעל 	עבר 	ראשון	זכר 	יחיד	הו_צ_דתי
הופעל 	עבר 	ראשון	נקבה	יחיד	הו_צ_דתי
הופעל 	עבר 	שני 	זכר 	יחיד	הו_צ_דת
הופעל 	עבר 	שני 	נקבה	יחיד	הו_צ_דת
הופעל 	עבר 	שלישי	זכר 	יחיד	הו_צ_ד
הופעל 	עבר 	שלישי	נקבה	יחיד	הו_צ_דה
הופעל 	עבר 	ראשון	זכר 	רבים	הו_צ_דנו
הופעל 	עבר 	ראשון	נקבה	רבים	הו_צ_דנו
הופעל 	עבר 	שני 	זכר 	רבים	הו_צ_דתמ
הופעל 	עבר 	שני 	נקבה	רבים	הו_צ_דתנ
הופעל 	עבר 	שלישי	זכר 	רבים	הו_צ_דו
הופעל 	עבר 	שלישי	נקבה	רבים	הו_צ_דו
הופעל 	הווה	ראשון	זכר 	יחיד	מו_צ_ד
הופעל 	הווה	ראשון	נקבה	יחיד	מו_צ_דת
הופעל 	הווה	שני 	זכר 	יחיד	מו_צ_ד
הופעל 	הווה	שני 	נקבה	יחיד	מו_צ_דת
הופעל 	הווה	שלישי	זכר 	יחיד	מו_צ_ד
הופעל 	הווה	שלישי	נקבה	יחיד	מו_צ_דת
הופעל 	הווה	ראשון	זכר 	רבים	מו_צ_דימ
הופעל 	הווה	ראשון	נקבה	רבים	מו_צ_דות
הופעל 	הווה	שני 	זכר 	רבים	מו_צ_דימ
הופעל 	הווה	שני 	נקבה	רבים	מו_צ_דות
הופעל 	הווה	שלישי	זכר 	רבים	מו_צ_דימ
הופעל 	הווה	שלישי	נקבה	רבים	מו_צ_דות
הופעל 	עתיד	ראשון	זכר 	יחיד	או_צ_ד
הופעל 	עתיד	ראשון	נקבה	יחיד	או_צ_ד
הופעל 	עתיד	שני 	זכר 	יחיד	תו_צ_ד
הופעל 	עתיד	שני 	נקבה	יחיד	תו_צ_די
הופעל 	עתיד	שלישי	זכר 	יחיד	יו_צ_ד
הופעל 	עתיד	שלישי	נקבה	יחיד	תו_צ_ד
הופעל 	עתיד	ראשון	זכר 	רבים	נו_צ_ד
הופעל 	עתיד	ראשון	נקבה	רבים	נו_צ_ד
הופעל 	עתיד	שני 	זכר 	רבים	תו_צ_דו
הופעל 	עתיד	שני 	נקבה	רבים	תו_צ_דנה
הופעל 	עתיד	שלישי	זכר 	רבים	יו_צ_דו
הופעל 	עתיד	שלישי	נקבה	רבים	תו_צ_דנה
